massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row107	174.0407701	26.89104664	0.0010659	4.9901	
row108	145.0142869	34.16156646	0.0010704	4.9868	
row109	279.1473404	237.345226	0.0010745	4.9837	
row110	636.3160787	108.9835781	0.0010923	4.9706	
row111	322.824648	26.05338683	0.0011248	-4.9472	
row112	328.2570816	256.1191432	0.0011438	4.9339	
row113	492.8009742	24.55378051	0.0011889	-4.9032	
row114	258.0383574	21.5533187	0.0012147	4.8862	
row115	127.0100539	194.8119585	0.0012333	-4.8743	
row116	314.2420071	211.8653023	0.0012407	4.8695	
row117	282.2520757	256.4365784	0.0012861	4.8412	
row118	154.0576952	24.67992389	0.001291	4.8382	
row119	454.8475648	29.53871459	0.0013484	-4.8041	
row120	281.2486636	254.9957039	0.0013499	4.8033	
row121	146.0459596	24.31365546	0.0013885	4.7812	
row122	395.2441922	160.9154443	0.0014006	-4.7745	
row123	855.5052942	224.3859173	0.001474	4.7347	
row124	860.537058	240.9042126	0.0015176	4.7121	
row125	304.8612925	28.02362374	0.0015629	-4.6893	
row126	474.8248199	138.9310136	0.0015801	4.6809	
row127	388.1557271	207.3474391	0.0015806	-4.6806	
row128	407.1364864	22.69077778	0.0016271	4.6583	
row129	460.9709502	26.12175876	0.0016452	4.6497	
row130	321.2106432	180.9704385	0.0016677	-4.6393	
row131	738.4586156	210.9600097	0.0017095	-4.6203	
row132	462.2721748	243.3250074	0.0017111	-4.6196	
row133	272.917872	164.3160707	0.0017754	4.5913	
row134	225.0525206	26.41748188	0.0018445	-4.5622	
row135	339.3152987	176.4057912	0.0018669	-4.553	
row136	371.1600338	25.3332737	0.0018937	4.5422	
row137	612.3186623	110.5856554	0.0019055	4.5375	
row138	300.2180057	189.1576631	0.0019975	4.5017	
row139	380.8785163	24.8660801	0.0020008	-4.5005	
row140	356.9994198	24.03406036	0.0021382	4.4504	
row141	342.2730913	263.8073087	0.0021515	4.4457	
row142	322.2140783	182.243359	0.0021763	-4.4371	
row143	844.5151585	219.5140757	0.0021778	-4.4366	
row144	626.7566192	21.77956467	0.0021954	-4.4305	
row145	473.3029732	213.1721038	0.0022275	-4.4197	
row146	340.8916325	28.40819748	0.0022356	-4.4169	
row147	500.9891748	26.78090084	0.0023559	4.3777	
row148	732.7217473	25.406677	0.0024284	-4.3552	
row149	718.4527549	237.6266263	0.0024878	4.3372	
row150	327.2180879	96.91876129	0.0025637	-4.3149	
row151	257.1395514	69.88496734	0.002564	-4.3148	
row152	116.8764827	260.3469513	0.0025808	-4.31	
row153	392.9769275	129.1506594	0.0026046	-4.3032	
row154	515.3214666	213.6556327	0.0026969	-4.2774	
row155	343.2684369	207.6514598	0.0027037	4.2756	
row156	194.1033874	28.458905	0.0029149	-4.2202	
row157	678.728893	25.14017637	0.0029377	-4.2145	
row158	539.9469255	28.84201333	0.0029486	4.2118	
row159	154.0623416	25.37804809	0.0030075	4.1973	
row160	151.026235	25.24142561	0.0030784	4.1803	
row161	407.1880101	175.8460911	0.0031079	-4.1733	
row162	492.9624814	43.66644808	0.0031955	-4.1531	
row163	131.0906839	21.90842307	0.0032183	4.1479	
row164	695.4387211	213.9243852	0.003366	-4.1153	
row165	423.8257594	30.62084787	0.003423	-4.1031	
row166	347.2229116	222.7753017	0.0034743	4.0924	
row167	780.744721	26.61058302	0.0034856	-4.09	
row168	723.7716716	27.83571839	0.0035864	-4.0694	
row169	521.2235463	182.5719796	0.0036152	-4.0636	
row170	287.2017794	209.6003754	0.0036499	4.0567	
row171	345.8500097	128.7654415	0.0037377	-4.0396	
row172	301.1204783	219.9115385	0.0037709	4.0333	
row173	444.0332702	23.79007871	0.0037714	4.0332	
row174	497.316337	195.5253783	0.0037952	-4.0286	
row175	173.1044549	30.79739158	0.0038514	4.0181	
row176	459.2616521	179.5258902	0.0039256	-4.0044	
row177	714.8435714	26.35424718	0.0039842	3.9938	
row178	459.2106152	179.8463726	0.0040009	-3.9908	
row179	431.7731039	23.35425721	0.0040358	-3.9846	
row180	122.0450871	26.32973948	0.0040502	-3.982	
row181	474.0887915	198.3609859	0.0040739	-3.9778	
row182	412.9812965	196.6378458	0.0040916	-3.9748	
row183	424.1327068	204.3909494	0.0041112	-3.9713	
row184	354.9936645	35.34901285	0.0041332	3.9675	
row185	467.8106496	223.2258618	0.0042546	-3.9469	
row186	801.585451	254.849894	0.0043084	-3.9379	
row187	349.2380597	231.8758449	0.0044176	3.9201	
row188	302.2207532	215.9926867	0.0044207	3.9196	
row189	984.6873772	33.42282798	0.0044347	-3.9174	
row190	632.2839592	68.92937117	0.0044469	3.9154	
row191	715.4337877	224.1687012	0.0044472	3.9154	
row192	681.890804	32.78953996	0.0044584	-3.9136	
row193	383.0310808	27.5228118	0.0044622	3.913	
row194	377.3513482	139.3199995	0.0044863	-3.9092	
row195	440.2769123	183.678043	0.0047087	-3.8749	
row196	525.7963981	24.04517565	0.0047304	-3.8716	
row197	414.877487	35.77604954	0.0047553	-3.8679	
row198	446.9998343	247.3456263	0.0047732	-3.8653	
row199	454.81759	59.39320625	0.0048287	-3.8571	
row200	303.2242463	220.2996251	0.0048701	3.8511	
row201	265.1084545	60.64830572	0.0050013	-3.8323	
row202	301.2172359	214.7558109	0.0050126	3.8307	
row203	357.1494081	179.4666015	0.0050216	-3.8295	
row204	133.0142491	30.38881427	0.005067	3.8231	
row205	523.7751202	23.97839962	0.0050697	-3.8228	
row206	664.7548434	25.6528668	0.0051082	-3.8175	
row207	198.0748659	25.51454989	0.0051681	3.8093	
row208	363.2211681	241.4704129	0.0052809	3.7941	
row209	431.1945695	252.0069959	0.0053161	-3.7894	
row210	631.8212309	29.83856853	0.005366	-3.7829	
row211	608.8246206	26.44959857	0.0053846	-3.7805	
row212	777.319262	205.4276846	0.0054106	-3.7771	
row213	585.4306031	286.3118068	0.0055272	-3.7622	
row214	883.5341171	239.7412545	0.0056055	3.7523	
row215	231.1463037	25.54327088	0.0056881	3.7421	
row216	459.8504538	27.52878041	0.0057189	-3.7384	
row217	582.9504436	25.64504932	0.0057886	-3.7299	
row218	884.5357953	239.5989967	0.0058305	3.7249	
row219	891.7775708	21.5979158	0.005937	-3.7123	
row220	729.5145862	252.9634104	0.0060225	-3.7023	
row221	814.636498	26.11785872	0.0060755	-3.6962	
row222	318.0365031	163.8268775	0.0061055	3.6928	
row223	255.5898466	51.29105564	0.0061075	3.6926	
row224	249.5065262	254.6166273	0.006124	-3.6907	
row225	282.2436686	217.1437235	0.0063129	3.6696	
row226	885.5356477	242.6806869	0.0064021	3.6599	
row227	792.6798029	26.9874741	0.0064397	-3.6558	
row228	685.7733864	26.45807059	0.006461	-3.6536	
row229	257.1395935	185.2568918	0.0065867	-3.6402	
row230	244.9138968	108.450079	0.0066422	-3.6344	
row231	840.0050808	18.94635589	0.0067251	-3.6259	
row232	318.2206421	211.2368208	0.0068155	3.6167	
row233	355.15801	250.9817721	0.0068988	-3.6083	
row234	665.3024951	295.9058019	0.0069936	3.5989	
row235	630.8059545	27.78054694	0.0070322	-3.5951	
row236	515.803815	24.85792124	0.0070477	-3.5936	
row237	777.5288152	232.1105671	0.0071278	-3.5858	
row238	117.1594005	33.92999681	0.0072651	-3.5727	
row239	403.1552996	180.6366248	0.0072706	-3.5722	
row240	883.5447007	231.1784884	0.007346	3.5651	
row241	801.6128651	245.0668226	0.0073623	-3.5636	
row242	187.1340718	32.9083499	0.0074147	-3.5587	
row243	559.3474556	214.1442901	0.0074614	-3.5544	
row244	764.6914953	27.91603181	0.0074822	-3.5525	
row245	302.2340965	198.2088377	0.0075082	3.5501	
row246	117.2674988	201.4192217	0.0075306	-3.5481	
row247	377.2363461	257.0202214	0.0077266	3.5305	
row248	537.3116038	279.8322495	0.0077463	-3.5287	
row249	144.1111163	83.71732401	0.0077496	-3.5284	
row250	147.4900918	241.4622293	0.0077644	-3.5271	
row251	465.8159961	25.80156398	0.0077703	-3.5266	
row252	987.9085783	21.91373467	0.0079816	-3.5083	
row253	118.0510117	18.23953102	0.0079949	3.5071	
row254	495.2793716	105.1086293	0.0080056	-3.5062	
row255	326.31445	295.0833909	0.0080136	-3.5056	
row256	207.0146442	29.28320577	0.0081076	3.4976	
row257	400.7862343	23.76407128	0.00811	-3.4974	
row258	672.1501616	278.592366	0.0083627	-3.4765	
row259	116.0717588	24.74190798	0.0083864	-3.4746	
row260	499.9278583	26.93489564	0.0083954	3.4738	
row261	521.7701175	27.5061679	0.0085357	-3.4625	
row262	393.2122447	173.9339216	0.0085532	-3.4612	
row263	494.8020473	31.72681631	0.0085625	-3.4604	
row264	225.0617401	33.37854376	0.0087745	3.4438	
row265	840.7244157	32.20878801	0.0088195	-3.4403	
row266	681.3989481	212.759807	0.0088443	-3.4384	
row267	404.1504057	201.4576241	0.0089757	-3.4284	
row268	593.3485572	215.8281364	0.0091688	-3.414	
row269	792.4940736	211.0856081	0.0092174	-3.4104	
row270	194.9637056	29.69014414	0.0093353	-3.4018	
row271	810.7570662	19.86510399	0.0094396	-3.3943	
row272	346.0557627	26.6509643	0.0096981	3.3761	
row273	145.9788953	144.7634068	0.0097046	3.3756	
row274	373.2054585	225.3512053	0.0098197	3.3677	
row275	399.0228421	236.7717592	0.0098742	-3.3639	
row276	896.5422678	236.0321099	0.0099021	3.362	
row277	403.1955301	177.1578869	0.010007	-3.3549	
row278	222.0700799	221.163427	0.010031	-3.3533	
row279	895.5380349	235.9900818	0.010035	3.353	
row280	757.5460751	283.9394968	0.010064	-3.3511	
row281	881.5288925	223.7725224	0.010273	3.3373	
row282	613.7709442	30.29337181	0.010748	-3.3069	
row283	1068.85612	283.8778109	0.010838	-3.3013	
row284	589.3600016	208.8908601	0.010907	-3.297	
row285	183.1390756	127.9805777	0.011047	3.2885	
row286	467.813384	28.28292995	0.011051	-3.2883	
row287	282.267373	284.4534244	0.01106	-3.2877	
row288	358.1531773	178.3968555	0.011134	-3.2832	
row289	470.7997096	28.84372112	0.011519	-3.2605	
row290	453.9272917	26.30744146	0.01154	3.2593	
row291	254.858927	69.6007713	0.011548	-3.2588	
row292	611.5812658	284.1321516	0.011623	-3.2545	
row293	676.8040337	32.92832453	0.011782	3.2454	
row294	500.8110737	21.984216	0.012085	-3.2284	
row295	726.4283733	214.9361969	0.012088	-3.2283	
row296	480.3260459	276.1721981	0.012167	-3.2239	
row297	476.2779565	210.1198888	0.012245	3.2197	
row298	488.8946329	202.9371495	0.012379	-3.2125	
row299	585.77464	23.36530597	0.012447	-3.2088	
row300	562.7910574	27.9198655	0.012904	-3.1848	
row301	718.4475619	234.9734587	0.012938	3.183	
row302	568.5334974	279.3819899	0.013246	3.1674	
row303	479.9885857	291.4240501	0.013434	-3.1581	
row304	301.3140291	220.0678698	0.013463	3.1566	
row305	357.028954	32.89872123	0.013718	3.1442	
row306	317.2124026	165.3025615	0.013761	3.1421	
row307	694.4357414	213.6118625	0.01379	-3.1407	
row308	259.0223428	28.64828471	0.014088	3.1266	
row309	91.24005132	220.8191233	0.014133	3.1245	
row310	118.9420678	135.3986074	0.014149	-3.1237	
row311	680.7287747	26.52986327	0.014237	-3.1196	
row312	161.0648833	20.67902289	0.014268	3.1182	
row313	116.4584857	288.9387289	0.014388	-3.1126	
row314	960.8649876	34.50993773	0.014643	-3.101	
row315	116.8763495	31.34436052	0.014758	-3.0959	
row316	390.0766022	192.9597461	0.014817	-3.0932	
row317	602.7703881	160.1270877	0.014824	-3.0929	
row318	141.4660451	213.7861184	0.014836	-3.0924	
row319	180.066722	25.19717718	0.014836	3.0924	
row320	409.9862539	23.60012606	0.015086	-3.0813	
row321	119.3832106	227.2089836	0.015116	-3.08	
row322	200.9548876	140.5357719	0.015212	-3.0759	
row323	791.7372631	31.14363018	0.015262	-3.0737	
row324	753.7385818	29.50000127	0.015559	-3.061	
row325	554.8028282	31.66472995	0.015584	-3.0599	
row326	328.1190257	103.0040436	0.015671	-3.0563	
row327	944.3780087	285.5118996	0.015681	-3.0559	
row328	679.2868323	260.7985492	0.015797	-3.051	
row329	261.1611588	254.5510144	0.015807	-3.0506	
row330	273.1860798	202.1938504	0.015865	-3.0482	
row331	500.7779623	30.21928975	0.015905	-3.0465	
row332	339.2906588	228.4581078	0.016046	-3.0407	
row333	278.9222351	141.7193395	0.016342	3.0287	
row334	664.7341649	26.10367642	0.016463	-3.0238	
row335	851.7170621	31.52432634	0.016482	-3.0231	
row336	216.0764364	23.87425955	0.016507	-3.0221	
row337	451.7820194	23.81864986	0.016663	-3.0159	
row338	381.0271927	28.06542448	0.016699	3.0145	
row339	706.6515936	27.90716694	0.016932	-3.0054	
row340	571.7486071	29.71326401	0.017161	-2.9966	
row341	648.73969	20.94771094	0.017261	-2.9928	
row342	184.0729457	25.19633737	0.017462	2.9852	
row343	389.1756633	216.0632459	0.017524	2.9829	
row344	368.2808242	172.3135343	0.017593	-2.9803	
row345	882.5235594	223.7058182	0.017673	2.9773	
row346	505.989441	44.72621562	0.017687	-2.9768	
row347	132.9556464	25.75868513	0.017693	-2.9765	
row348	739.4370546	223.4060087	0.017697	2.9764	
row349	590.8004071	26.9552738	0.017758	-2.9742	
row350	422.1587947	48.93715932	0.017797	-2.9727	
row351	824.5032642	213.3103423	0.017973	-2.9663	
row352	397.2055249	219.9785544	0.018084	2.9623	
row353	216.9875115	40.91647035	0.018486	-2.9478	
row354	478.2941572	223.0483735	0.018584	2.9444	
row355	714.7538296	25.31817097	0.0188	-2.9368	
row356	341.2698402	260.9046813	0.018979	2.9307	
row357	233.0859466	25.12621389	0.019019	2.9293	
row358	599.8874922	32.92725351	0.019059	-2.9279	
row359	368.2808234	244.7378125	0.019262	2.921	
row360	290.2205444	222.9764832	0.019321	2.919	
row361	215.0299315	188.1910829	0.019561	-2.9109	
row362	1000.612982	217.2291671	0.01964	-2.9083	
row363	117.0963501	25.07932103	0.019752	-2.9046	
row364	793.4889696	210.40663	0.019821	-2.9023	
row365	217.7856815	32.34909774	0.019911	-2.8994	
row366	408.9993395	25.27528736	0.020079	2.8939	
row367	868.7348882	27.94122257	0.020107	-2.893	
row368	298.8913965	30.92536658	0.020287	-2.8872	
row369	881.5183237	227.2452652	0.020344	2.8854	
row370	475.7846454	25.01384196	0.020513	-2.8799	
row371	302.1237321	220.7345108	0.020521	2.8797	
row372	620.7489568	24.61951029	0.020786	-2.8713	
row373	400.820428	26.32008927	0.02079	-2.8712	
row374	862.7090606	28.3446356	0.02085	-2.8693	
row375	436.0775761	197.5319923	0.020904	-2.8677	
row376	362.2341334	203.6279653	0.020908	2.8675	
row377	740.4417717	226.3710521	0.021072	2.8624	
row378	640.3108704	257.6833977	0.021244	-2.8572	
row379	356.9927157	31.01620419	0.021245	2.8571	
row380	522.8135687	25.63319118	0.021428	-2.8516	
row381	660.7414023	25.19304256	0.021448	-2.8509	
row382	943.3741066	285.3547744	0.021478	-2.85	
row383	604.7751503	25.36823866	0.021483	-2.8499	
row384	207.6500007	256.7716346	0.021568	-2.8473	
row385	764.5129908	227.1841125	0.021707	-2.8431	
row386	929.3604681	285.5233355	0.021751	-2.8418	
row387	411.0208383	25.30123741	0.021823	-2.8397	
row388	320.9036931	148.0427572	0.021873	2.8382	
row389	429.7527938	23.1295872	0.02195	-2.8359	
row390	327.2178307	203.3069197	0.022101	-2.8314	
row391	653.8021933	25.71458955	0.022217	-2.8281	
row392	497.2984312	237.0765945	0.022309	-2.8254	
row393	159.0160583	26.63166405	0.022312	-2.8253	
row394	489.8082956	26.58836891	0.022539	-2.8187	
row395	149.0551169	24.78862925	0.022896	2.8085	
row396	222.1616496	24.84067389	0.022983	-2.806	
row397	191.0198298	35.40274945	0.02312	2.8022	
row398	125.0011131	21.64163679	0.023191	-2.8002	
row399	117.1294053	26.80737129	0.023426	-2.7936	
row400	405.1537941	194.358103	0.023576	-2.7895	
row401	153.9815274	134.1836407	0.0237	-2.7861	
row402	350.002152	19.09457437	0.023777	-2.784	
row403	578.8062686	27.2513126	0.023899	-2.7807	
row404	922.5774655	219.0697039	0.024152	-2.7739	
row405	289.2173745	222.8618553	0.024227	2.7719	
row406	299.8446785	249.7691522	0.024332	-2.7691	
row407	690.7377796	26.82853884	0.024345	-2.7687	
row408	305.2397349	232.3017184	0.024444	2.7661	
row409	940.7628611	20.50967218	0.024483	-2.7651	
row410	566.7514125	23.35587555	0.024637	-2.761	
row411	600.7877602	23.17244082	0.025129	-2.7482	
row412	720.7660922	24.94268254	0.025198	-2.7464	
row413	241.5741282	43.58676896	0.025206	-2.7462	
row414	413.0278931	30.33969045	0.025211	-2.7461	
row415	565.816567	28.09518881	0.02529	-2.7441	
row416	823.4971087	210.5260949	0.02529	-2.7441	
row417	250.1422241	213.3973295	0.025362	-2.7422	
row418	748.7157485	26.90075127	0.025444	-2.7401	
row419	726.7358506	25.90410987	0.025836	-2.7303	
row420	371.8518132	150.3489668	0.026019	-2.7257	
row421	989.7528575	20.44004823	0.026122	-2.7231	
row422	440.2732539	147.1393339	0.026206	-2.7211	
row423	116.7847712	64.99964936	0.026477	-2.7144	
row424	331.2128591	63.10411833	0.026528	2.7132	
row425	233.94786	22.87912751	0.026604	-2.7113	
row426	552.6782893	20.92651071	0.026693	-2.7092	
row427	380.8416217	21.52880027	0.027054	-2.7005	
row428	505.8347253	28.6868734	0.027206	-2.6968	
row429	780.4812474	213.5968905	0.027313	-2.6943	
row430	500.2790899	203.0157396	0.027329	2.6939	
row431	315.050167	22.46096557	0.027356	-2.6933	
row432	524.3325145	272.8526234	0.027459	2.6909	
row433	230.0784013	25.02213636	0.027485	2.6903	
row434	231.0170529	25.46460366	0.027489	2.6902	
row435	867.5233534	217.5367991	0.027585	-2.6879	
row436	548.760807	26.95721282	0.027775	-2.6835	
row437	337.1940108	220.5790436	0.027777	2.6835	
row438	656.8862463	26.31096113	0.027883	2.681	
row439	167.0657297	22.28034977	0.02803	2.6776	
row440	232.0853498	25.3485237	0.028199	2.6737	
row441	242.9436727	29.00252183	0.028298	2.6715	
row442	924.5660826	223.6625851	0.028358	-2.6701	
row443	351.9973972	27.27779776	0.028638	2.6638	
row444	926.5800432	212.3235734	0.028771	-2.6608	
row445	743.4002512	214.8501417	0.028783	-2.6605	
row446	136.0518048	24.94847405	0.02893	2.6572	
row447	584.8341079	22.72698476	0.028939	-2.657	
row448	173.118292	37.21039761	0.029075	-2.654	
row449	264.8369479	89.24066306	0.029195	-2.6513	
row450	245.0434751	19.02614839	0.029257	2.65	
row451	453.8675518	257.1959137	0.02953	-2.644	
row452	735.4519467	213.4156542	0.029532	-2.6439	
row453	763.600212	282.3818434	0.029592	2.6426	
row454	554.7482789	24.78585925	0.029685	-2.6406	
row455	497.8063571	26.09866588	0.029732	-2.6396	
row456	804.7897756	27.10783884	0.029799	-2.6381	
row457	561.9320477	26.55031133	0.029836	2.6373	
row458	473.1717635	204.7283649	0.030087	-2.6319	
row459	382.4863657	19.31789855	0.030228	-2.6289	
row460	626.7101702	24.19454511	0.030246	-2.6286	
row461	466.8311737	26.86459441	0.030282	-2.6278	
row462	231.0818815	25.04966723	0.030312	2.6272	
row463	692.4289607	210.8571294	0.030438	-2.6245	
row464	883.555144	223.3624054	0.030443	-2.6244	
row465	691.4325412	210.7329345	0.03045	-2.6242	
row466	652.801721	27.59216738	0.030607	-2.6209	
row467	640.9350696	22.3709137	0.030613	-2.6208	
row468	608.7722504	26.61269713	0.030809	-2.6167	
row469	708.6748264	25.16996823	0.030911	-2.6145	
row470	783.4918733	213.7423417	0.030945	-2.6138	
row471	194.9111891	34.35475118	0.031298	-2.6065	
row472	479.2978915	223.6774747	0.031443	2.6036	
row473	398.2088107	224.2709129	0.031507	2.6023	
row474	304.236483	232.0078379	0.031528	2.6018	
row475	647.4025313	217.9743427	0.031683	-2.5987	
row476	285.5545735	282.0627283	0.031836	-2.5956	
row477	234.8791147	36.39887478	0.03186	-2.5951	
row478	482.783431	24.96377848	0.031955	-2.5932	
row479	123.0484627	32.91543333	0.032016	2.592	
row480	336.881006	134.5922521	0.032132	2.5896	
row481	749.4639933	213.734153	0.032231	-2.5876	
row482	584.8359703	26.05800028	0.032489	-2.5825	
row483	750.7347689	28.08329666	0.032616	-2.58	
row484	116.8247912	198.4372385	0.032914	-2.5742	
row485	893.0583831	204.8346618	0.033033	-2.5718	
row486	511.8635901	30.91970568	0.033142	-2.5697	
row487	717.7632937	32.69577513	0.033421	-2.5643	
row488	185.0762655	25.60309146	0.033445	2.5639	
row489	512.809718	19.15895249	0.033554	-2.5618	
row490	269.2485103	266.2819337	0.033606	2.5608	
row491	360.8982835	28.66822064	0.033783	-2.5574	
row492	470.8216404	33.01928787	0.034105	-2.5513	
row493	118.0412806	25.3178223	0.034199	2.5495	
row494	303.232868	233.6653217	0.034299	2.5477	
row495	175.9594885	28.68823964	0.034343	2.5468	
row496	837.5116533	210.2889272	0.03435	-2.5467	
row497	474.8377237	41.92193886	0.034726	-2.5397	
row498	287.2050544	174.7516435	0.034754	-2.5392	
row499	394.8925675	27.79954942	0.034911	2.5363	
row500	133.0506867	19.88892458	0.03498	-2.535	
row501	825.514407	213.2884538	0.035094	-2.5329	
row502	278.858472	25.21237991	0.03551	-2.5254	
row503	594.7785857	23.64964765	0.036688	-2.5044	
row504	1271.952153	92.80192201	0.03688	-2.5011	
row505	642.7724932	25.00782787	0.036931	-2.5002	
row506	1002.620622	212.4860187	0.037045	-2.4982	
row507	196.4103072	59.46346444	0.037155	-2.4963	
row508	505.0273074	187.4610443	0.037196	-2.4956	
row509	350.2420144	231.9098233	0.037207	2.4954	
row510	347.2437311	51.86676165	0.037362	-2.4927	
row511	341.2066251	175.9777066	0.037368	-2.4926	
row512	241.9485644	135.4845903	0.037569	2.4892	
row513	374.9977714	24.96907794	0.03792	2.4832	
row514	897.5516747	243.3296696	0.037942	2.4829	
row515	105.5645551	236.5378177	0.037948	-2.4828	
