"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"95.0267431459666/111.455209937429",0.02146,-0.0040158,0.040995,-0.021052,0.0068933,0.011222,-0.0046595,-0.020963,-0.0040992,-0.0038234
"95.0488991805766/70.8749864856101",-0.019453,-0.0039875,0.026009,-0.026594,0.0023314,0.039403,0.014714,-0.022947,-0.0095222,-0.0069456
"95.5229660321685/141.610514691645",-0.030081,0.0082372,-0.013981,-0.0014323,0.022897,0.01323,0.0090221,0.00085653,0.0061315,0.0023587
"97.9913528195963/187.777417643873",-0.023794,0.0062221,-0.010292,-0.0019165,-0.0080725,-0.039388,0.013014,0.035577,-0.01184,0.0095503
"98.0964189054742/257.134532402362",-0.015963,-0.02521,0.038329,-0.0041029,-0.019484,0.012731,-0.0010127,0.012829,0.00058879,-0.0072435
"98.3110769077939/95.4190935060189",0.015748,0.013273,0.012775,-0.016058,-0.031038,0.024701,-0.016754,-0.030478,-0.03888,0.0044317
"98.5120716329636/96.0093081751803",-0.022483,-0.018218,0.0066397,0.0005256,0.028933,0.02354,0.025245,-0.022223,0.00032415,-0.0016133
"98.5120895722921/219.275208188834",0.0095557,-0.021208,-0.0089759,0.0058314,0.037704,-0.027859,0.030188,0.030722,-0.019088,0.0043148
"98.7211582696782/161.99303106932",-0.0078004,-0.0092901,0.045,-0.044233,-0.0033073,0.003444,0.0050536,0.011122,0.0025885,-0.012259
"98.721164290326/244.134026489549",0.024321,-0.006417,0.029478,-0.029556,-0.00070649,0.00036094,-0.0054311,-0.010531,-0.024428,0.0058431
"98.978079149657/223.418074086201",0.018262,-0.0065418,0.040025,-0.029356,-0.00034086,0.015859,0.0078882,-0.024259,-0.0027869,-0.0052228
"98.9865828094624/132.51657053743",-0.01123,0.0010942,-0.032584,0.005841,0.025801,0.042485,-0.021618,-0.020429,-0.026486,0.0070155
"98.9868061630096/256.577586619509",-0.012524,0.0050563,-0.030402,0.0062218,0.022298,0.041521,-0.023722,-0.022254,-0.029107,-0.004224
"98.9946281200182/273.451133223595",-0.0043114,-0.002047,-0.030502,0.029515,-0.0041685,-0.033707,-0.035595,0.033799,0.02353,0.013656
"99.0203240047941/95.7993550566593",-0.0053904,0.019149,-0.0081425,-0.059037,-0.02001,-0.014669,0.00046404,0.0036984,0.0070875,-0.0080518
"99.0439740704522/267.195271702325",-0.027532,0.013407,0.0079983,0.016808,0.008939,-0.0080885,-0.033693,0.0047465,-0.0068172,0.01196
"99.0439942029808/212.657081586309",-0.025729,-0.0079853,-0.013876,0.0027365,-0.014986,0.020717,0.031228,0.023193,-0.016511,-0.0015269
"99.5123573155918/221.778958500439",0.019536,-0.010033,0.017437,-0.012934,0.019548,0.0016213,-0.001535,-0.020369,0.058232,-0.0079669
"99.6642259935665/92.3355850325176",0.01799,0.016954,0.003112,-0.026445,-0.017355,0.026382,-0.018412,-0.0273,-0.034563,-0.012899
"100.028750637525/158.058044863313",-0.028111,-0.011007,0.01751,-0.0075574,0.023834,-0.01861,0.0024788,-0.010638,5.0698e-05,-0.0039808
"100.093576109532/232.986172678361",-0.032794,-0.0079829,-0.0059915,0.0055939,-0.0049296,0.0093155,0.0087583,-0.0047754,-0.00025169,-0.0026026
"100.112040096785/94.8606697707116",-0.024928,-0.0077022,-0.0048398,-0.041645,-0.0081503,0.0024132,0.0027088,-0.0020257,0.02696,-0.0028254
"100.982096894222/128.106120633339",-0.018466,0.026471,-0.0050516,-0.012793,-0.01405,-0.039039,-0.01726,0.012262,0.0041018,0.0086934
"101.024919436187/39.3359397465329",0.0033501,0.039954,-0.023219,0.022206,-0.0050923,0.0019931,-0.003306,-0.011683,-0.0050858,0.0020082
"101.02516159974/110.624625032986",0.020623,0.014693,0.041219,-0.011931,0.00040565,-0.0059729,-0.0067298,-0.023224,0.0028995,-0.0067866
"101.115467858993/190.234129155456",-0.015326,-0.016968,0.022766,0.00022073,-0.049274,-0.0065318,-0.003969,-0.008467,-0.023171,0.0077721
"102.036830390263/143.53455905798",-0.022788,-0.018816,0.026333,-0.0069628,0.019417,-0.014434,0.010529,0.012299,-0.024451,0.012402
"102.042138636865/144.499099317896",-0.012974,0.0095225,0.040504,0.0060527,0.022257,-0.029067,-0.034026,-0.0011931,-0.0034032,0.001425
"102.12772960775/78.4394818109014",-0.028151,-0.0089117,0.0065898,0.01577,0.02815,0.013788,0.015434,0.0071208,-0.0059566,-0.0084665
"102.317665430716/136.278412031515",0.0092246,0.029401,0.011629,-0.035687,-0.031279,0.010815,0.0071534,0.013659,-0.011862,0.00037568
"102.532372699961/183.485037572611",-0.029134,-0.0054809,-0.0069275,-0.00030691,0.0032423,0.005118,-0.0021446,-0.042002,-0.0083056,0.00074094
"103.054228202735/50.1027522432094",-0.02162,0.035787,-0.0042575,-0.00025491,-0.0024953,-0.0049904,0.0023713,-0.001753,0.0008758,0.0044715
"103.123271149075/34.2081422168367",-0.012044,0.037521,0.020942,-0.010066,-0.014068,-0.0035059,0.018425,-0.0078091,-0.0062683,-0.0042545
