"","V","p.value","-log10(p)","FDR"
"177.040997864085/36.1937891054325",11,0.84127,0.075065,0.93479
"178.090356366232/243.49748275577",11,0.84127,0.075065,0.93479
"180.002928012132/172.613677398005",14,0.84127,0.075065,0.93479
"180.974750689825/115.361741151987",11,0.84127,0.075065,0.93479
"187.071413890522/255.036576856242",11,0.84127,0.075065,0.93479
"190.090307734487/247.177239841835",14,0.84127,0.075065,0.93479
"192.159537578945/32.7705787043216",14,0.84127,0.075065,0.93479
"195.122830764303/218.527037129667",11,0.84127,0.075065,0.93479
"208.429133911309/139.083325270057",11,0.84127,0.075065,0.93479
"223.030771174295/148.616308479181",11,0.84127,0.075065,0.93479
"239.148799901837/191.927211348346",14,0.84127,0.075065,0.93479
"239.148871408715/34.8433458062645",14,0.84127,0.075065,0.93479
"240.663085376621/28.3064718606585",11,0.84127,0.075065,0.93479
"256.175467045825/25.3552850810316",14,0.84127,0.075065,0.93479
"268.636699644565/161.22756984673",14,0.84127,0.075065,0.93479
"268.893846784448/51.5671845774535",11,0.84127,0.075065,0.93479
"273.035950990225/80.9250009060853",11,0.84127,0.075065,0.93479
"279.928998083686/110.993133584287",11,0.84127,0.075065,0.93479
"283.175131664362/36.2498637375268",14,0.84127,0.075065,0.93479
"299.169061306589/29.2222167897068",14,0.84127,0.075065,0.93479
"303.913324993666/139.467765320641",14,0.84127,0.075065,0.93479
"307.91391298889/52.8372403904843",11,0.84127,0.075065,0.93479
"312.185312471172/29.3329286768014",11,0.84127,0.075065,0.93479
"316.284681111132/21.9809488330732",14,0.84127,0.075065,0.93479
"316.960986210131/117.01351064329",14,0.84127,0.075065,0.93479
"322.803275826944/60.1795287520791",14,0.84127,0.075065,0.93479
"365.208557270952/29.7790633813632",14,0.84127,0.075065,0.93479
"370.075932597387/239.967779009357",11,0.84127,0.075065,0.93479
"381.297432574887/31.4576298518691",11,0.84127,0.075065,0.93479
"384.274546421424/26.8717712958294",11,0.84127,0.075065,0.93479
"385.980480466252/261.99414923979",14,0.84127,0.075065,0.93479
"386.238157518314/34.1836649951473",14,0.84127,0.075065,0.93479
"389.884720445383/45.6580056267801",14,0.84127,0.075065,0.93479
"398.774321389373/30.6298120152381",11,0.84127,0.075065,0.93479
"405.262521570694/25.5504814585598",11,0.84127,0.075065,0.93479
"414.065890581558/239.779936781155",11,0.84127,0.075065,0.93479
"415.033017085642/184.13292814996",14,0.84127,0.075065,0.93479
"423.264474791708/30.8379692249271",14,0.84127,0.075065,0.93479
"429.311609290375/29.1180266150531",11,0.84127,0.075065,0.93479
"430.314509448615/28.6658918262074",14,0.84127,0.075065,0.93479
"434.285940892359/32.6973875441219",11,0.84127,0.075065,0.93479
"435.131056405248/112.338324443204",14,0.84127,0.075065,0.93479
"440.333762866863/160.788173511188",11,0.84127,0.075065,0.93479
"442.801758296965/44.0346894278585",14,0.84127,0.075065,0.93479
"465.817145572005/28.5842067642509",14,0.84127,0.075065,0.93479
"467.301858276661/36.3554866169188",11,0.84127,0.075065,0.93479
"467.995391130816/64.8178159256423",11,0.84127,0.075065,0.93479
"473.829687396091/29.9641891276705",11,0.84127,0.075065,0.93479
"474.340704117237/29.5016959803691",11,0.84127,0.075065,0.93479
"476.756485416184/56.5168439495644",14,0.84127,0.075065,0.93479
"480.800669886573/36.662891381634",11,0.84127,0.075065,0.93479
"489.816463782397/37.0981474605275",11,0.84127,0.075065,0.93479
"490.364458012553/27.4315144189964",14,0.84127,0.075065,0.93479
"495.339433075609/31.6863950047473",11,0.84127,0.075065,0.93479
"506.983238969325/134.526002186266",14,0.84127,0.075065,0.93479
"514.306823420528/38.1932996614498",11,0.84127,0.075065,0.93479
"518.352817212899/34.0044567537413",11,0.84127,0.075065,0.93479
"520.739442201865/56.009523998647",11,0.84127,0.075065,0.93479
"522.842554262046/32.6042262585386",11,0.84127,0.075065,0.93479
"523.841883008498/71.6826767795501",11,0.84127,0.075065,0.93479
"528.755471025505/50.4904657429086",11,0.84127,0.075065,0.93479
"535.81800925616/38.0066179766372",14,0.84127,0.075065,0.93479
"546.400397717155/28.2558275514766",14,0.84127,0.075065,0.93479
"551.118174939249/99.06099122703",14,0.84127,0.075065,0.93479
"553.367998672519/29.511410590899",14,0.84127,0.075065,0.93479
"561.391232726725/28.8026494929186",11,0.84127,0.075065,0.93479
"561.880530481021/44.8218159355602",11,0.84127,0.075065,0.93479
"561.880550230634/38.4319683394899",11,0.84127,0.075065,0.93479
"566.671992211861/55.8997496610697",11,0.84127,0.075065,0.93479
"579.421449237106/27.9532539278315",14,0.84127,0.075065,0.93479
"580.694305203048/55.5584738167767",11,0.84127,0.075065,0.93479
"586.728838566598/56.7366950694959",11,0.84127,0.075065,0.93479
"595.867783254588/68.4778354342533",14,0.84127,0.075065,0.93479
"605.405676632392/32.2770164554436",11,0.84127,0.075065,0.93479
"622.632615120901/55.8612945001197",11,0.84127,0.075065,0.93479
"627.419377590262/33.3220176697388",14,0.84127,0.075065,0.93479
"641.884439535321/68.8288364754166",11,0.84127,0.075065,0.93479
"660.427854175567/59.664468289674",14,0.84127,0.075065,0.93479
"666.469812791543/28.3671221688548",11,0.84127,0.075065,0.93479
"702.645666725893/55.5767578586217",11,0.84127,0.075065,0.93479
"702.708184574898/139.847314646631",11,0.84127,0.075065,0.93479
"719.060185827268/59.8347069407107",14,0.84127,0.075065,0.93479
"738.501048623237/30.0070020894507",11,0.84127,0.075065,0.93479
"740.546701563701/56.0651630625818",11,0.84127,0.075065,0.93479
"755.52642377415/29.571839102314",14,0.84127,0.075065,0.93479
"758.472002445276/31.1291075863288",14,0.84127,0.075065,0.93479
"762.740253191746/287.107984714142",11,0.84127,0.075065,0.93479
"768.537994681659/48.564017938684",14,0.84127,0.075065,0.93479
"768.549746715518/39.6162636811816",14,0.84127,0.075065,0.93479
"774.528070881321/51.9378753298087",11,0.84127,0.075065,0.93479
"781.519577975149/27.4570698837415",11,0.84127,0.075065,0.93479
"785.846943374259/67.6763430621775",14,0.84127,0.075065,0.93479
"792.789176792322/61.1023021569104",14,0.84127,0.075065,0.93479
"794.575168345815/35.4142423310846",14,0.84127,0.075065,0.93479
"798.544077303653/27.8253401074653",14,0.84127,0.075065,0.93479
"801.501500441907/40.4885287627492",14,0.84127,0.075065,0.93479
"802.499350769048/44.7979815704621",14,0.84127,0.075065,0.93479
"842.579576243741/28.8280411334884",11,0.84127,0.075065,0.93479
"913.599692367065/28.9825819406043",14,0.84127,0.075065,0.93479
"973.650880287505/28.4224063149634",14,0.84127,0.075065,0.93479
"508.705205062764/58.1867587739281",11.5,0.90633,0.042714,1
"836.5961190655/51.9222831334699",11.5,0.90633,0.042714,1
"98.9865828094624/132.51657053743",13.5,0.91418,0.038967,1
"117.990447182161/105.350131345705",13.5,0.91418,0.038967,1
"158.947290108047/149.771181926303",11.5,0.91418,0.038967,1
"197.059078148597/106.641817342953",13.5,0.91418,0.038967,1
"201.966987253536/53.4739211760734",13.5,0.91418,0.038967,1
"211.994131192168/130.236920008798",13.5,0.91418,0.038967,1
"214.96303710611/134.018760970603",13.5,0.91418,0.038967,1
"324.800339702117/59.343804665285",13.5,0.91418,0.038967,1
"706.68678412294/58.804085350754",13.5,0.91418,0.038967,1
"1095.77783492087/86.9418094649476",13.5,0.91418,0.038967,1
"533.388124085429/26.8231285678244",11.5,0.91631,0.037959,1
"90.289682293613/133.584979524367",13.5,0.91656,0.037838,1
"119.502746586722/116.481407904701",11.5,0.91656,0.037838,1
"265.179819097161/21.1579045526623",11.5,0.91656,0.037838,1
"289.160677213793/62.4521108440691",13.5,0.91656,0.037838,1
"342.212629947996/29.6605367444232",13.5,0.91656,0.037838,1
"360.318922376145/21.4853908793503",11.5,0.91656,0.037838,1
"486.785901162691/58.4453837733669",13.5,0.91656,0.037838,1
"487.829832950103/28.2431305113909",13.5,0.91656,0.037838,1
"530.852446558564/40.8812357772529",13.5,0.91656,0.037838,1
"552.867068383888/35.9366013422115",13.5,0.91656,0.037838,1
"670.372433644845/69.1221073984788",11.5,0.91656,0.037838,1
"745.902615604187/69.3568794111057",13.5,0.91656,0.037838,1
"809.5854283727/33.3222891526122",11.5,0.91656,0.037838,1
"1100.23513088375/56.0158825146236",11.5,0.91656,0.037838,1
"1184.76625490391/67.5087737976121",13.5,0.91656,0.037838,1
"88.0757034521673/230.906802675193",13,1,0,1
"88.0757082617287/172.349302060859",13,1,0,1
"90.7450357119961/69.0529198207693",13,1,0,1
"94.5284668701983/110.268562925916",13,1,0,1
"98.0964189054742/257.134532402362",13,1,0,1
"98.9946281200182/273.451133223595",12,1,0,1
"99.6642259935665/92.3355850325176",12.5,1,0,1
"101.02516159974/110.624625032986",12,1,0,1
"109.033792018892/163.132591472405",12,1,0,1
"111.091708797708/82.4544725242446",12,1,0,1
"113.115389228322/260.739056238353",13,1,0,1
"114.553790538135/101.793707744911",12,1,0,1
"116.86659271582/105.422976126374",12,1,0,1
"117.097582022258/81.3446169875142",12.5,1,0,1
"118.049846544299/146.750700451609",12,1,0,1
"118.122607034721/223.7007693403",12,1,0,1
"121.064797220465/28.3716316308313",13,1,0,1
"122.995787193072/123.513618944753",12,1,0,1
"130.908808745187/151.221991575739",12,1,0,1
"131.533457010242/98.1842036033549",12,1,0,1
"139.05835085587/41.1528598916783",13,1,0,1
"141.032371929002/143.759391538208",13,1,0,1
"142.505360008728/125.26028575409",13,1,0,1
"144.605225384742/77.6119375438603",12,1,0,1
"146.165266197361/58.1813619021433",12,1,0,1
"149.02679408205/84.3548353714963",13,1,0,1
"151.09652897679/29.5976442825792",12,1,0,1
"154.013488022519/114.707592273438",12,1,0,1
"163.018749014003/117.0312711797",12,1,0,1
"177.086970392674/251.686427053844",13,1,0,1
"177.954001296649/146.40603893113",12.5,1,0,1
"178.611758324993/137.677731754022",12.5,1,0,1
"189.044819866998/128.256673897228",13,1,0,1
"195.122846457236/28.8087938222128",12.5,1,0,1
"203.803874035052/114.835506426365",12.5,1,0,1
"204.282261654424/134.166364857039",13,1,0,1
"204.92532752467/55.1453111565354",12,1,0,1
"207.650399101967/105.417066860536",12,1,0,1
"209.190061649952/19.4188319787825",12,1,0,1
"214.552930697966/252.908690813965",13,1,0,1
"215.550894391112/244.226440382005",12,1,0,1
"227.127718366393/35.4865051614688",12.5,1,0,1
"233.190047192376/26.9483099640877",13,1,0,1
"234.907913458468/117.151061471123",12,1,0,1
"238.045084320887/115.528228048278",13,1,0,1
"240.161433575579/196.530860995306",12,1,0,1
"242.994597323377/68.8344365377816",13,1,0,1
"245.91531830596/132.989202521125",12,1,0,1
"250.960464103792/101.096094531695",13,1,0,1
"254.159892956957/20.2426272686029",12,1,0,1
"257.074276765827/240.549253893504",12,1,0,1
"257.523525753418/157.532012854721",13,1,0,1
"262.974100411447/144.104543414929",12,1,0,1
"277.139489060749/178.371572888298",12,1,0,1
"283.018876527387/239.499188172894",12,1,0,1
"284.170276758197/19.2134962018481",13,1,0,1
"298.186164538074/22.9624572782373",13,1,0,1
"302.019585665478/173.553660626222",13,1,0,1
"311.875202342699/139.145270440917",12,1,0,1
"312.201648629983/24.1110123956525",13,1,0,1
"315.180131217014/28.9351425800155",13,1,0,1
"316.870116630453/50.0823508266888",12,1,0,1
"324.059272728358/187.898814879421",13,1,0,1
"324.950517208587/115.763931680547",12,1,0,1
"327.91883469449/120.032905065433",13,1,0,1
"328.196391567536/21.6420624984277",12,1,0,1
"329.030399597638/228.768656531394",12,1,0,1
"334.873543725684/50.768679085476",13,1,0,1
"335.110493904869/40.0822475208388",12,1,0,1
"335.221713438466/21.2446092711229",12,1,0,1
"339.252928957004/37.5531583389498",12,1,0,1
"342.014794000522/242.336833075112",13,1,0,1
"343.195131846366/29.0151824849992",12,1,0,1
"343.696986964875/29.3348395239175",12,1,0,1
"344.013852364778/271.019184287941",13,1,0,1
"344.398194976152/141.083366528379",13,1,0,1
"346.00936957484/267.305850522765",13,1,0,1
"347.01251108861/288.948288235993",13,1,0,1
"348.013688309518/171.698201597969",12,1,0,1
"348.070356218403/167.740089517366",13,1,0,1
"354.896473486382/137.730004964821",12,1,0,1
"356.713228501012/29.2789363061193",12,1,0,1
"358.204674635299/36.2911542161186",12,1,0,1
"372.22292740285/27.1226897988972",13,1,0,1
"373.911344297239/157.855537649695",12,1,0,1
"378.264401468379/21.7290813292038",12,1,0,1
"382.759084399778/59.2075755255644",12,1,0,1
"388.842439966351/139.28663333065",12,1,0,1
"391.43062141716/116.257174809912",13,1,0,1
"395.156470649918/59.1291780437743",13,1,0,1
"400.254060877519/23.3471851875145",12,1,0,1
"404.241403491601/37.2784602478622",13,1,0,1
"406.972036426943/69.9694612164489",12,1,0,1
"407.409022563228/142.269958430882",12.5,1,0,1
"420.787636783684/27.9249568768022",12,1,0,1
"421.280312143143/28.3987616638007",12,1,0,1
"423.77664742411/36.0532698584392",13,1,0,1
"428.309047491216/27.8477534004385",13,1,0,1
"429.102177433912/237.440682013231",13,1,0,1
"431.07586931465/67.0965693340263",13,1,0,1
"432.775461896695/57.7088496966789",12,1,0,1
"433.283322550007/33.3035209218701",13,1,0,1
"435.791954206463/28.7830817273436",13,1,0,1
"436.291694690673/28.3063784693704",13,1,0,1
"444.504045629346/27.0309813780309",12,1,0,1
"444.98962197284/277.825195924496",12,1,0,1
"446.290657935726/35.6860639172214",12,1,0,1
"446.338608117506/28.3103483341084",12,1,0,1
"449.287414329406/46.666436707676",12,1,0,1
"451.313908593061/31.7877397029344",13,1,0,1
"452.317582626796/23.4410676626052",13,1,0,1
"456.299606787042/29.4796567459741",12,1,0,1
"459.289614787112/38.0695565590967",12,1,0,1
"459.424229425983/21.3296945024531",12.5,1,0,1
"459.895148843149/50.7697650063759",13,1,0,1
"463.973112610949/80.5303626176153",12,1,0,1
"465.317032618839/38.0868109409574",13,1,0,1
"467.802394273365/44.2198963240663",13,1,0,1
"467.991949555631/112.18201667806",13,1,0,1
"468.044268328291/66.9849504725499",12,1,0,1
"468.045495255488/61.942078361723",12.5,1,0,1
"479.316507696738/28.6335796887246",12,1,0,1
"479.817652053346/29.7289967798907",12,1,0,1
"486.827028408165/28.1466605765297",12,1,0,1
"487.328499592918/29.1044172492756",12,1,0,1
"487.782129550513/138.998964738916",12,1,0,1
"489.114757124572/290.728336329052",12,1,0,1
"503.818053796411/37.6693322274051",12,1,0,1
"508.83865706481/29.845473401636",12,1,0,1
"510.343683815478/30.9346239529384",12,1,0,1
"511.828917882489/37.1834781082224",12,1,0,1
"516.744412778951/56.2277529267822",13,1,0,1
"520.333130016732/34.1025266550104",13,1,0,1
"521.336360033269/36.3536942667243",13,1,0,1
"522.339259072303/28.5936150930846",12,1,0,1
"522.95973119895/147.439613931102",12,1,0,1
"524.827783033911/37.9587149434376",13,1,0,1
"528.680535009702/56.3790778572138",13,1,0,1
"530.58268165827/61.627965665107",12,1,0,1
"531.355858657781/28.4532259774336",13,1,0,1
"534.392877378081/40.4409422384644",13,1,0,1
"536.894776658842/58.1381999425329",13,1,0,1
"538.343264188578/45.617647301517",12,1,0,1
"539.367068821165/32.5390413088411",12.5,1,0,1
"541.962788886857/282.056522115584",12,1,0,1
"542.840245545885/58.9829268396114",13,1,0,1
"546.841235954397/35.5309686928828",13,1,0,1
"552.861074454913/38.2292616052324",13,1,0,1
"555.856671637433/38.3288126415316",12,1,0,1
"558.989466392527/86.990003772906",12,1,0,1
"564.360365402594/33.7085220832792",12,1,0,1
"566.176387945819/143.199239169746",12,1,0,1
"577.86752884893/40.8263750314491",13,1,0,1
"583.895808756211/31.4667522333393",12.5,1,0,1
"606.420369551249/27.1406524111291",12,1,0,1
"620.756588957562/63.6715804004729",13,1,0,1
"620.99745263306/63.3832579085507",13,1,0,1
"630.756212961089/58.2416971956542",13,1,0,1
"650.43987463186/34.6016664248816",12,1,0,1
"650.444536465539/28.5005002608765",13,1,0,1
"654.953002750942/65.9531945627666",12,1,0,1
"659.929323198024/69.3151286574327",13,1,0,1
"662.729394455382/50.2014075485936",12.5,1,0,1
"669.418498232878/42.971795915763",12,1,0,1
"670.425975469423/36.2785096082232",12,1,0,1
"684.984017060077/65.9823485704689",12,1,0,1
"710.373753158782/68.1042983709463",13,1,0,1
"713.442616110646/45.4590920888313",13,1,0,1
"713.447664168218/42.04264325092",13,1,0,1
"744.544680042291/43.6623183380164",13,1,0,1
"746.898627500799/60.0386304351862",12,1,0,1
"748.844247465299/61.6144915217466",13,1,0,1
"753.510088310361/27.0512181974477",12,1,0,1
"753.518487180249/29.1738496585859",12,1,0,1
"754.524140500636/27.1866371212394",12,1,0,1
"755.807924838646/67.2342280910854",12,1,0,1
"757.46968719313/40.2415124283672",12,1,0,1
"765.525394723565/29.8602706696588",12,1,0,1
"766.361672407256/63.444017713372",12,1,0,1
"766.615018041076/54.5271433054889",12,1,0,1
"766.834319002011/71.1002281208051",13,1,0,1
"771.641173771017/54.1194213836659",12,1,0,1
"772.726437996503/69.9785354961521",13,1,0,1
"781.548787493732/38.0367764109499",12.5,1,0,1
"781.553185734572/47.2802622755551",13,1,0,1
"786.275931560752/52.2270631301426",12,1,0,1
"797.551832346509/29.5894617148719",12.5,1,0,1
"799.541182306473/31.686476609131",13,1,0,1
"808.584454480207/33.4211341254427",13,1,0,1
"814.525226578446/55.8499199211588",12,1,0,1
"816.80391590043/66.7692138059936",12,1,0,1
"825.54365827278/31.5467866020987",13,1,0,1
"838.642413871123/51.5071476770789",12,1,0,1
"840.640462833162/55.7638641829469",13,1,0,1
"841.563184198928/27.4752213029694",12,1,0,1
"841.576250794816/31.0790614584078",13,1,0,1
"845.844603726494/67.8556174005803",13,1,0,1
"882.319745705593/68.5987988032313",12,1,0,1
"884.161762238532/68.0439302633017",13,1,0,1
"890.553125518456/29.8875680057311",13,1,0,1
"899.394424769649/53.5563938072047",12,1,0,1
"899.825329874034/95.9410449800609",12.5,1,0,1
"905.871572861575/68.0125967805128",13,1,0,1
"912.596442157585/28.1003000646656",12,1,0,1
"922.07327445635/117.080490326831",13,1,0,1
"944.291450738159/66.4722352036637",13,1,0,1
"947.825051259347/68.0418739162468",13,1,0,1
"962.780819087017/68.9811121633199",13,1,0,1
"997.809285348274/67.9795679070676",12,1,0,1
"998.45680912969/49.0809284703229",13,1,0,1
"1017.67440015466/30.3165815591866",13,1,0,1
"1038.7088421471/66.164535213211",12,1,0,1
"1052.83925723508/67.5481589503937",12,1,0,1
"1065.79740228408/68.109905548557",12,1,0,1
"1088.47954819895/57.6990238047221",13,1,0,1
"1116.44484011624/68.4205027594201",13,1,0,1
"1148.75448414759/67.7104031329256",12,1,0,1
"1174.26446337458/67.9732290894278",13,1,0,1
"1198.09261930472/67.6972984109248",12,1,0,1
"1237.73509874787/76.8788339439275",12,1,0,1
"1266.0840770464/67.1172651760209",13,1,0,1
"1272.05348525685/47.1946346395573",13,1,0,1
