"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"103.823462142283/47.8503243656585","1638733.333","2563183","6031732.333","5063713.667","3287759.333","850723.6667","28021398.67","4278787.667","2454956.333","3409856"
"104.030293595403/181.880629009903","122770370.7","135612562.3","105041801.3","113900277.3","114731672","122338147","102418971.7","106295887.3","93951380.33","103761728.7"
"104.070605506448/55.6939598340273","5112825","5730660.667","7645476.667","4757012.667","6030166.333","4181323.667","6119118.667","3460332","3845060","3448425"
"104.087278734297/44.6433827881895","26900310.33","28997036.67","55427826.33","37688775.33","20031194","16089104.67","26946479.33","22271101.67","29902568.33","35853771.67"
"104.100420338404/48.6476196127068","7042823.667","10733334.33","13064922.33","5345249","7700388","7001070.667","45980123.67","5379180","5388755","8892595.667"
"104.106970895819/46.4866792811117","5182899420","4959169752","7941858628","5816449575","6786849481","2818610601","4399283876","4181652341","4598211094","5000689488"
"104.113605477794/46.7997392767219","6366563","6844012.667","13472822.67","6551672","8332723","5008154.667","40059592.67","7613011","4855715","7172608.667"
"104.115778336196/53.2976217682619","2947100","3667653.667","9949890","3308331","2778436","9355048.667","5361407.5","2782876.667","2719547","5344230.667"
"104.126542630331/44.8036730187381","23236806.33","28425394","51474769.67","28830675.67","19459196.67","16125289.33","21212400","25753130.67","27594694.33","33547756"
"104.391619412799/47.4895869655694","1614968.667","2752214.667","5996474","5091628.667","2942248.333","808745","41457558.33","3984751","2322808.333","3727040.333"
"104.528881682026/134.313233512055","3027991.667","2682296","2221546","2664954.5","3053136","2078158.5","122718.8333","122718.8333","122718.8333","122718.8333"
"105.09740999037/46.4188100658652","122718.8333","122718.8333","6695689","8934796","6365999","122718.8333","122718.8333","122718.8333","8448401.5","122718.8333"
"105.11029137541/44.4084864086832","254829103","246150395","410785700.7","297733196.7","346363674.3","122669778","243210606.7","197041915.3","206428586.7","241287951.7"
"105.981450263873/136.302897758677","2436875.667","2415180.667","122718.8333","1981543","1894197","4252398","122718.8333","3132212","2058203.333","122718.8333"
"106.049871576931/88.170915040773","130921098.7","120213878.7","105552302","126981012.3","171107223.3","56067685.67","37999991.33","49557850.33","49531422.33","32981116.33"
"106.11366224834/53.5015718475362","7262362.667","5246158.667","9443339.667","6304225.333","6327356","3398929","3777264","7446696.333","6576290","8424581"
"106.114979793526/46.0880831471246","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","2965683","7045747.667","1316885.667","2790725","5899322.333"
"107.053029503591/70.9652454278692","4940957","6458592","122718.8333","4413935.333","3793219.333","4533297","3079512.5","2965564","5308144","1333358.667"
"108.410497981272/125.788617319845","3223525.667","4428013","5838845.333","2950656.333","4000928.333","5246494.333","5595197.667","9711397","7787507.667","15072470"
"108.721765423798/28.0910071902401","1177363.333","3670891","3199603.667","4110795","5797066.667","2337187","57256.5","2042537","3324011","4083513.667"
"109.028454965976/216.552433354053","898898.3333","1474432.333","10082409","1685922.333","1120403.667","463212.6667","3485184.333","1778917","2248394","3974863"
"109.033792018892/163.132591472405","2691481.333","4626061","5838600.333","3272137.333","5672165.667","8077686.333","4555360","4913550","3030222","14044811.33"
"109.063342377175/52.9563285126645","13006444","11115813.33","16977207","14567512","17485731.67","6323698.667","9609906.667","9847301","10614145","11489058.33"
"109.987378030637/111.516573744964","122718.8333","3116244","2103195.667","3259057.5","122718.8333","122718.8333","4230942","2363191.667","1437636.333","2808415.333"
"110.030017115027/110.747643914142","122718.8333","122718.8333","1826669.333","1470429","122718.8333","122718.8333","122718.8333","644525.3333","1712737.667","2259170.667"
"110.071295164999/95.3028574848839","38180818.33","39190691.67","50048989.33","38991713.67","52079329.67","10478667","23476214.33","17852862.33","22164334.33","30798837.67"
