"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"281.166045288091/29.5554194488768","122718.8333","122718.8333","122718.8333","158733.5","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","2550939"
"281.185711266737/34.5046436670553","122718.8333","122718.8333","630822","122718.8333","122718.8333","122718.8333","538214.5","1982704","122718.8333","122718.8333"
"281.44617680501/114.655248011961","122718.8333","1165246","4658777.667","4863599.667","1096908","852029","18145835","2334350.667","3451850.333","4599468.667"
"281.819587506772/52.9432860306244","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","461216.5","122718.8333"
"281.821948527793/50.0397373942838","2807850.667","1691307.333","122718.8333","2581548.333","3990196.333","3681697","122718.8333","122718.8333","4085815","2550356.667"
"281.926456501847/115.662223600126","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","500280","3301248.5","122718.8333","122718.8333","1928420"
"281.946258320636/53.7457146941605","625996.3333","615462.3333","1848753.667","896590.3333","2258678","1338955.333","540013.6667","1947731","1014068","1340281.667"
"282.191232608819/26.2035355395951","2681871","5236931.667","2764692.333","3822864.667","2986317.333","2899273.333","5287810.333","3177791.333","2811869.333","3148578.667"
"282.249094393313/152.80825076624","3965577.333","7614956.333","4220495.667","6057226","6198318","4740638.333","4095751.333","3368890.667","4252199.667","2160260.667"
"282.423447446772/137.5092215966","3081071.667","4878506","2432840.333","4156357.667","4502155","1934091","2243847.667","1421682","1868928.333","1340867"
"282.621889385483/117.592424028918","122718.8333","122718.8333","824813.3333","122718.8333","122718.8333","122718.8333","21786525","1505019.5","1927754.667","3046404.333"
"282.904960217307/280.118048580224","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","697753.5"
"282.976356382691/141.861078164164","4564247","122718.8333","14031896.33","122718.8333","122718.8333","1005900.5","7765137.333","4266691","4708618","7194798"
"283.018876527387/239.499188172894","1749377","2818203.667","19535665.67","4573697.333","2182713.333","827347.5","7512646.667","4545333.333","5434191","9908556.333"
"283.149031571022/235.202883332063","485763.3333","429375","587742.6667","677971.6667","400113.3333","496830.3333","311156.6667","503958.3333","360421","856485.3333"
"283.15383225394/26.9507659471611","122718.8333","87868","122718.8333","139029","100641","45555","3279817.667","26078","75554.5","45468"
"283.175131664362/36.2498637375268","15881634.67","15026474","9258836","9262170","6306762","8533399.667","18056716.67","8392934","9755903","9673491.667"
"283.224753293265/216.855629670916","585021","402356.6667","102311.3333","414990","692476","527735.6667","109221.5","480478.6667","325958.3333","618262.6667"
"283.275662098695/138.596184195513","2174286.333","1849497.333","2203551","1889217.333","1743516.333","2138934","2674672.667","2274429.667","2260382.667","2309640.667"
"283.397340112171/136.38644016404","122718.8333","80497","122718.8333","122718.8333","214810.6667","122718.8333","600107.5","253764","122718.8333","828430"
"283.399805982199/138.640472344231","9458485","13346974.33","17142025.33","12440124","11702801","12625637.67","14959654","12136596.33","12984640.33","14271120"
"283.819349670096/52.7801952466737","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","3327903","122718.8333","122718.8333","122718.8333","357406.5"
"283.893798844387/142.882683770461","27913","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","815590"
"283.993298305659/117.222028249287","122718.8333","122718.8333","1582884","122718.8333","122718.8333","122718.8333","122718.8333","8815040","1897085.5","3003587"
"283.996946724186/64.2836362839244","145948.3333","122718.8333","122718.8333","192036.5","122718.8333","40227","122718.8333","122718.8333","144143.5","69944.5"
"284.135275242733/101.600981899108","779889.3333","651322.3333","2471989","978222","874427","244166.3333","3214539.5","452934.6667","772290","1032257.667"
"284.170214923487/245.987543024499","1673957.333","1617266","1420204.333","1685841.667","1100736","1356152.667","725658.3333","1056952.667","1677094","1376717.333"
"284.170276758197/19.2134962018481","4680652.667","12975395.33","2201393.667","6337887.333","2102875.667","5332344.333","15208981.67","5124536","7384789","2027315.333"
"284.170327181515/199.258571249997","312630.6667","1505664","968067.3333","1055068.667","700718","1719624","884470.6667","1178585.667","1409954","1278844.333"
"284.177818149493/176.72775770305","1810987","1022012","3456786.667","725494.6667","1390883.667","2722807.333","1844834","2987848","2694193.667","2632983.333"
"284.178531854492/35.1075502475643","2198858.333","1528348.667","1377494.333","1695954","1377400.333","1025478.333","2435090.667","1007593.667","1756168","1501256.667"
"284.206872801727/24.6036221275983","4264372","1011243","785591.3333","902405.3333","162458.3333","204976.6667","1338246.333","384945.3333","899198.6667","359213"
"284.258396561072/27.864556606949","52147190","53765017","51609278.33","60962223","57393447","23549558.67","24663518.33","29730360.67","26606013.33","25214838"
"284.266544971211/111.481657702221","293026","945263","1746497.5","511807.6667","1062363.333","1539614.333","2788268.333","2198131.667","2021578.333","2947098"
"284.266573239845/19.3109060546482","334457","278336.6667","234845","289589.6667","287324.3333","257895","279531.6667","132719.6667","9211658","9718150.667"
"284.294831951091/22.8452978258101","1267835.333","1148798.667","9267149","1588987.667","3809914.667","1039419","2144239.333","1620665.667","1110933.333","3185057.333"
"284.331234644599/24.9722161738608","122718.8333","122718.8333","122718.8333","122718.8333","623848.6667","316455.6667","160357.6667","445925.3333","794829","122718.8333"
"284.421069344224/134.594887224177","1615819","1742049.333","3164585","1598720","1744451.333","1759768.667","122718.8333","3955198.5","122718.8333","122718.8333"
"284.620794016395/145.084893229014","2202988.667","2789122.333","2603991.5","1859185.667","1072875.667","490080.5","122718.8333","3139646.333","2162843.333","122718.8333"
"284.859303681043/23.2656299524364","122718.8333","122718.8333","122718.8333","72010.5","95115.5","122718.8333","122718.8333","122718.8333","122718.8333","56439"
"284.956104945984/23.5142892072099","122718.8333","122718.8333","122718.8333","141670","157908.5","122718.8333","204907.3333","384135","181781","160102"
"285.009645543994/60.6453686083636","122718.8333","122718.8333","122718.8333","1151975.5","1644961","1078691","122718.8333","1033048.333","1025732","122718.8333"
"285.061281841322/80.8019943969533","704976.5","539902","2355549.667","727593","122718.8333","652467.3333","597909","1114322","1425660.667","1501197.667"
"285.067760015646/105.514524590947","10255028","8502378","5228399.667","10969425.67","13521364.33","4922678.667","20046726.67","4460235.333","4246865.667","4375193.667"
"285.221379540903/22.612044886672","267176","289691","122718.8333","122718.8333","122718.8333","131937.6667","122718.8333","202054","142562","122718.8333"
"285.261606954311/28.1319104299646","7015935.333","7441610.667","6747505.333","7783639.333","7551045.667","8235665","3251533","4546170.667","4710695.333","8011021"
"285.278540902114/112.883960156395","1001873.333","915986.3333","1803214.333","435791.3333","322935.3333","832641","19762442","682080.6667","1128343.667","2644940"
"285.967627957766/69.6570748188932","1411809","2178271","7972188","2897655.5","3814344.333","344098.5","6115471.667","1599987.333","3346115.667","6189744.667"
"286.119515338989/62.1679778822627","595988.5","122718.8333","485877","2034037.333","7530088","122718.8333","411432.5","2637678.333","423103.3333","604055.6667"
