"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"242.034425032236/195.393346308297","-0.1960217","-1.4713165"," 1.4369272"," 0.1630400"," 0.6863359","-1.5010284","-0.5646688","-0.1503332"," 0.3715913"," 1.2254742"
"242.0511078142/69.3372982103154","-0.05592958","-0.03822180"," 2.01381589"," 0.57999628"," 0.91683286","-0.68048746","-1.63517544","-0.14716447","-0.20322819","-0.75043811"
"242.994597323377/68.8344365377816"," 1.6842123","-0.8369013"," 0.8985326","-0.8369013","-0.7177914","-0.8369013"," 0.5039597"," 1.2975334","-0.3188414","-0.8369013"
"243.026449024714/234.641733802787","-1.45910591","-0.71510758"," 1.66299626","-0.09330456","-0.72407956","-1.16700140"," 0.44591487"," 0.51002658"," 0.60409040"," 0.93557090"
"243.825957622092/52.9625549527252"," 0.3762436"," 0.9598792","-1.6075474"," 0.2300462"," 1.2257535"," 0.4835697","-0.2974946","-0.5382667"," 0.7753638","-1.6075474"
"243.996084863114/56.4389626762955"," 0.66323180"," 0.44360461"," 0.89685436"," 1.14165230"," 1.15069038","-1.08233415","-1.39111798","-1.24254497","-0.52743861","-0.05259773"
"244.023797305882/119.357385756389","-1.1245727","-1.1627453"," 0.6915889"," 0.5323175"," 0.4209993","-1.1627453"," 0.9373731","-0.9967936"," 0.4414253"," 1.4231527"
"244.190717485986/24.6310724875779","-0.6177852"," 0.5888687"," 1.0017163","-0.9192053"," 1.4941327","-1.9765155","-0.1266469"," 0.4255856","-0.1332699"," 0.2631194"
"245.056703810937/178.859873158827"," 0.4627899"," 1.0121595"," 0.2380762"," 1.2307893"," 1.4685088","-0.8426630","-1.0879427","-0.9238551","-0.9695107","-0.5883523"
"245.060864202789/289.59925486646","-1.2144580","-0.4320485"," 1.3812771","-0.5626489","-0.3732438","-1.4946647"," 0.5656196","-0.0497529"," 0.9447612"," 1.2351589"
