"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"110.933410436414/31.871305587136","4534414.333","2390237.667","2342510.333","496000.3333","3070251.333","2052046.667","1312484","4821958.667","6272675.333","6914705"
"110.933852395077/270.707710030045","1424446.667","1570465","1296095.667","1702806.333","1099626","334065","5069578","1847131.667","1818192","1318048"
"111.008815172946/32.8426058373793","2725244.667","945495","219719.6667","600411.6667","750146","771748.3333","410964.3333","402003","325844.3333","912051.6667"
"111.131645073444/274.081520877454","2924.15625","1462.078125","106753.6667","1462.078125","731.0390625","385062","6316585","341150","5848.3125","5848.3125"
"111.255174342226/245.375636931014","793039.6667","1497213","1185944","1398937","663696","685511.6667","1042447","1632529.667","1424065","1568822"
"111.578383214764/231.326513615853","957800","803177","406674.3333","1137566","319762","174698.3333","1899868","756841.3333","986462.3333","1428507.667"
"111.902850880174/238.893785412051","366495.3333","711031.6667","1139097.333","586005.6667","633239","155600.3333","318449","188637.6667","1205445.667","970982.3333"
"112.040429072684/52.5281266303787","587945","229179.3333","1462.078125","1462.078125","731.0390625","490722","23393.25","701111","5848.3125","5848.3125"
"112.040435822346/162.218219034651","290789.3333","222698","1462.078125","207342","232603","71768.33333","23393.25","288266.5","334825.5","5848.3125"
"112.152289074067/140.424090547627","581639","741125.6667","1462.078125","542540.3333","654310.6667","569321.6667","259673","719434","625709.6667","5848.3125"
"112.229132710902/252.302536634795","1171833.333","835239.6667","620059","882057.6667","795516","577264.6667","1311629","982027.6667","826700","1558813"
"112.656409289499/28.5274672532853","2924.15625","1462.078125","1722312.667","1495516","2327303.5","46786.5","495017.6667","1131012.333","4136107.667","1458992.5"
"112.66507137573/151.34435197857","705407","169968","57301.33333","357828.3333","731.0390625","46786.5","897033.3333","2980","390208.3333","122238.6667"
"112.885081752097/216.547142943466","2262833","605434.6667","1370342.667","754769.6667","1409977","749586.3333","1467227.667","2284295","1842473.667","1692795.333"
"112.978080298298/80.560835925108","1463180.667","1616415","1797167.333","989299.3333","1173561.667","1552720.333","18247965.33","2663168.667","1493918.333","1768949.667"
"112.978117682023/32.9287080233008","5988288.333","6074923","5321826","5563159","5806125.667","5335308.667","22271132.67","5293874","4953197","5704935.667"
"112.993258164964/47.3949120385474","6130381","6191839","5548963.333","5938813.333","6060854","5979889","21406938.33","5074714","5202679","5323553"
"113.060884045039/163.578749021689","431989.5","385546.5","1462.078125","411660.6667","208427.5","231916.3333","618766.3333","444132.6667","305883.3333","5848.3125"
"113.215780982977/236.788565038181","1573784.667","1097315.333","1701560.333","1807548.667","2036265.333","579709.6667","1849813.333","2422235","1991417.333","2150484"
"113.880369465047/244.864836574737","2537905.333","3516173.333","1833575","3051455","2205996.667","537674.6667","4929633.333","2332866.333","2977044","2679105.667"
"113.880397044558/207.083183339988","3956870.333","1845084.667","2157243","3104605.333","2372534","942233","671218","2604410.667","3090600","2611237"
"114.056060491552/34.4450635350586","1102196.333","1113586","4860491.333","837859.3333","999824.6667","1348329.333","2146451.667","1458134.333","2964516.667","4663343.333"
"114.215284783876/217.847529978441","313667.3333","534970.6667","1041492.333","1866634.333","1781818","751983.6667","364503.3333","3048868.667","510637.3333","1447292.333"
"114.551304179585/242.207942103015","2565485","3236277.667","1905823.333","1771513.667","2511579.667","565755.6667","1477381.333","2969831.667","2996499","3231710"
"114.551351112801/190.413996441114","3933067.667","1571065","2694569.667","3162730","3107729","866256.6667","4029322.333","3993072.333","2591085.667","1667442.333"
"114.707658795678/117.001572278666","131070.5","468426","1462.078125","381076","760372.3333","226664.6667","82011","270375.3333","744324.6667","5848.3125"
"114.888855840258/232.083364121088","1454075","3126526.333","1379950","1184307.333","2979438.667","751701","2579391","3472943.667","2016176.333","2327870.667"
"115.00366446847/245.708038910315","479050.6667","491998.6667","503720.6667","549248.6667","477296.3333","624736.6667","2748998","493373.3333","876970","528817.3333"
"115.003686455006/27.5592300611826","7472716.333","7311500","16418798.67","8180353.333","10356497.33","2462685.667","3331729","4705268.333","4529784.333","2973270"
"115.228086255613/229.22112298718","1582269.333","705601.6667","809008.3333","824390.6667","577336","609437.3333","3339760.667","1810591","1675861.667","964024"
