"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"255.059946579099/45.1520047308148","-0.5054305","-0.6635339"," 0.8320833","-0.9788931","-1.3209700","-1.1205854"," 0.9506456"," 0.6856421"," 0.9385506"," 1.1824913"
"255.087867911802/50.442684786291"," 0.290772168"," 0.890996668","-2.737340519","-0.001788137"," 0.398633737","-0.025180009"," 0.592797208"," 0.189975364"," 0.223414736"," 0.177718783"
"255.154207775555/251.586312467919","-0.7629750","-0.7629750","-0.7629750","-0.7629750"," 1.4792677"," 1.1031646","-0.7629750"," 0.7619512"," 1.2334667","-0.7629750"
"255.208020739221/251.171072798067"," 0.6388952","-1.8841788"," 0.4533977"," 0.5750897"," 0.4709425","-1.8841788"," 0.6215757"," 0.3198617"," 0.4064244"," 0.2821705"
"255.589846556956/51.29105563623"," 0.6721337"," 0.9416096"," 1.2681099"," 0.3897417"," 0.6387340"," 0.6137826","-1.1310279","-1.1310279","-1.1310279","-1.1310279"
"255.880561092071/84.7311149627654"," 1.40407848","-0.07133695"," 0.46393628","-2.43744028"," 0.01287324"," 0.58765905","-0.33788196","-0.35882429"," 0.30864743"," 0.42828900"
"255.906311841173/154.671584965547","-0.30979449"," 0.64631103","-1.13759164"," 1.60458539"," 0.80031783"," 1.05032325","-1.41599966"," 0.06781149","-0.72844508","-0.57751814"
"255.909274763549/20.7757461469663"," 0.64360713"," 0.07360446"," 0.65247703"," 0.26411413"," 0.33034943"," 0.39407521","-1.84409929"," 0.40553650"," 0.92443468","-1.84409929"
"255.96072949826/153.332317328266"," 0.095279211"," 0.807802593","-1.335718293"," 1.267023337"," 0.814147120"," 0.233636126","-1.804702428","-0.739101677"," 0.654361478"," 0.007272534"
"256.059385317057/28.4837893050233"," 0.03133697","-0.22274319"," 0.98281501"," 0.31582296"," 0.27929288","-2.20038493","-0.93879366","-0.25428785"," 0.95801737"," 1.04892444"
"256.160550918758/251.2220864251","-0.1039892"," 1.1017216","-0.4966426","-0.5755900","-0.1784461","-0.5031378"," 2.4368441","-0.6999320","-0.4496604","-0.5311676"
"256.328169042533/251.487280422426","-0.8638161"," 0.8555001","-0.8638161","-0.8638161","-0.8638161"," 0.3455224"," 1.9158670"," 0.4900452","-0.8638161"," 0.7121459"
"256.902738527087/35.2980615777304","-1.05799621","-1.15733087"," 1.79809930","-0.05279745","-0.48383811","-1.24755598"," 0.07484592"," 0.74296831"," 0.69180255"," 0.69180255"
"256.910317667668/18.9933711687669"," 0.46834134"," 0.29499249","-1.79446229"," 0.44496541"," 0.44591424"," 0.43135787"," 0.31603351","-0.06429205"," 1.25161177","-1.79446229"
"256.915383253559/162.65492772234","-0.87733820"," 0.87408220"," 0.83340406","-0.25460440"," 2.07773892","-0.32929864","-0.34501634","-0.04855409","-0.57998362","-1.35042989"
"256.957876601671/156.636189104248"," 0.3470293"," 0.1434212"," 0.5142047"," 0.5108321"," 0.1514610","-0.1067115"," 0.4661065"," 0.3405818"," 0.4235376","-2.7904627"
"257.139551449621/69.8849673376478","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499","-0.3162278"
"257.139593476046/185.256891791347","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499","-0.3162278","-0.3162278"
"257.175906802133/182.171533026496"," 0.7226475"," 0.7935824"," 0.7400988","-1.1937532"," 1.0534362","-0.6268500"," 0.8525007","-1.1232004","-1.5152897"," 0.2968278"
"257.176013360811/76.3230238137906","-2.5798212","-0.1966765"," 0.3876638","-0.1234319"," 0.7893092","-0.3396969"," 1.0011681"," 0.3002569"," 0.2813839"," 0.4798445"
"257.212312313497/155.185673180596"," 1.2086648"," 0.3326609","-1.0422307","-1.6636220","-0.5431794"," 0.9248631"," 1.3986023"," 0.2021748","-0.6242537","-0.1936800"
"258.038357440576/21.5533187010946"," 0.6758085"," 0.6888352"," 1.7287865"," 0.5940715"," 0.6675681","-1.4633492","-0.5923261","-0.7390333","-0.8936337","-0.6667275"
"258.873595970211/27.7706103295938","-1.64763676","-0.20922287"," 0.28511531","-0.08037571","-0.79923203","-0.78840377"," 1.05424782","-0.46179368"," 1.50340143"," 1.14390026"
"258.879956506409/32.075971876878","-0.4856603","-0.6147610"," 0.6311213"," 0.2685251"," 0.5195206"," 0.3854899"," 0.9302171"," 0.5704699"," 0.2896051","-2.4945276"
"258.908240549313/60.1265087202071","-0.51805800","-0.71265015"," 1.86393134","-0.77777143","-0.26605715","-0.10882359"," 1.70679651","-0.13734169"," 0.01287837","-1.06290420"
"259.022342775538/28.6482847065493"," 0.54947148"," 0.26411659"," 1.57998169"," 0.92425078"," 0.66131944","-0.71215216","-1.35478550","-0.35220973","-1.54057300","-0.01941959"
"259.118516415567/167.31001337845"," 0.99634315"," 0.07100053"," 0.57128104","-1.35528347"," 0.86802056"," 0.01175622"," 1.10130680","-1.35528347"," 0.44614212","-1.35528347"
"259.118691084737/64.9251034869757"," 0.7177971","-1.0512138"," 0.7229301","-1.0512138"," 0.2649330"," 0.2559641"," 1.7887690","-1.0512138"," 0.4544621","-1.0512138"
"259.902916912366/143.627412047925","-0.9293599","-0.9293599"," 0.9557474"," 1.1366549"," 1.0539722"," 0.4041493","-0.9293599"," 1.0962754","-0.9293599","-0.9293599"
"260.908679960098/150.854800281848","-0.6152126","-0.6152126","-0.6152126"," 1.1031127","-0.6152126","-0.6152126","-0.6152126"," 1.5634072","-0.6152126"," 1.6399680"
"261.072799503464/25.5784805171395","-0.5675095"," 0.5360096"," 1.7218910","-0.2758420","-1.0155181","-0.9593677","-0.5537209"," 1.1402174"," 0.9332080","-0.9593677"
"261.134483513306/230.493374047249","-1.12254479"," 1.22898108","-0.23225871","-0.24017816"," 1.57347987","-1.87214408"," 0.08490904"," 0.26955395"," 0.08755379"," 0.22264801"
"261.16115880733/254.551014401487","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499","-0.3162278","-0.3162278","-0.3162278","-0.3162278"
"262.077028783785/160.025695706874"," 1.1951595"," 0.4216813"," 0.9872746"," 0.4734267","-1.5911470","-0.3861294","-1.5911470","-0.5637159"," 0.2944058"," 0.7601915"
"263.165479015641/77.6407048307777"," 0.1368850"," 0.1574611","-0.6723496"," 0.2526208","-2.3909385"," 1.4203318","-0.2627020"," 0.3721398"," 0.5724126"," 0.4141391"
"263.201625804346/211.19833260329","-0.3955210","-0.3439878","-0.2073977","-0.3732725","-0.1586626","-0.1900238"," 2.5859343"," 0.6708178","-0.9987138","-0.5891728"
"263.92215755619/31.8122216357113","-0.6144689","-0.6144689"," 1.5463591","-0.6144689","-0.6144689","-0.6144689","-0.6144689"," 1.0850849"," 1.6698383","-0.6144689"
"263.926866879399/154.700554350527"," 0.3087859"," 0.2349804"," 0.2410246"," 0.4434224"," 0.2864901"," 0.3732181","-2.8367535"," 0.3878214"," 0.3764443"," 0.1845664"
"264.836947941882/89.2406630612378"," 0.5146535","-0.2504556","-0.9964715","-0.9964715"," 0.5934580","-0.9964715","-0.9964715"," 0.1988224"," 1.3694557"," 1.5599521"
"264.942317836101/33.259404976546","-0.32088502","-0.76759172"," 2.47717270","-0.12017204"," 0.60311394","-1.05797160","-0.61632334"," 0.05170591","-0.48536989"," 0.23632106"
"264.997969556821/21.1389991989134"," 0.46840854","-0.63154583","-0.03803484","-0.07831935"," 1.17016596","-0.75551316","-0.90361133","-0.33125655","-1.01589775"," 2.11560432"
"265.108436798862/167.690275478658","-0.9290129"," 0.0727602","-0.9290129"," 0.6488721"," 0.9387724","-0.6582248"," 1.1076284","-0.9290129","-0.9290129"," 1.6062432"
"265.10845449872/60.6483057165667","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499"
"265.147861277805/121.770727554227","-0.33624562"," 0.03348095"," 2.55300609","-0.35850369"," 0.39961481","-0.04513409","-1.00567336"," 0.18273044","-0.61139334","-0.81188220"
"265.180919378814/115.970160447001"," 0.9436605"," 0.3898018"," 1.5401194","-1.3968565","-1.4779053"," 0.4990383"," 0.3173602","-0.5715193","-0.7318061"," 0.4881070"
"265.217382648963/227.270714766517"," 0.7017470"," 0.8279320"," 0.4432742"," 1.2400202"," 1.2400202","-0.6185657","-1.5567365","-0.8468511","-0.6740288","-0.7568116"
"266.151217862324/125.479427619851","-0.38261750"," 0.02736129"," 2.59762257","-0.40972287"," 0.46641615","-0.35668374","-0.85084749"," 0.18671743","-0.54744146","-0.73080438"
"266.903348326335/32.9167297252355"," 0.7246049"," 0.6142719","-1.4020817"," 0.2489269"," 0.3592077"," 0.8995069","-1.4020817"," 0.3086608"," 1.0510659","-1.4020817"
"266.932521869001/42.8236380613718"," 0.4876386"," 0.7035084"," 0.4581611"," 0.2708494"," 0.6585351"," 0.3799906","-1.8816832"," 0.4214667"," 0.3832163","-1.8816832"
"267.124046134349/69.4600814279618"," 0.4761821"," 0.2950427"," 0.8501647","-1.4668557"," 0.4237173","-1.2055143","-1.4668557"," 0.4420307"," 0.3427226"," 1.3093656"
"267.126915402983/270.826998889349","-0.11855726","-0.69758871","-0.42856926","-0.38025799","-0.04730176"," 0.58008627"," 2.62638763","-0.77808228","-0.23121027","-0.52490636"
"267.143896163388/125.605788235159","-0.49611564","-0.03175124"," 2.61233014","-0.43874835"," 0.52672363","-0.46008038","-0.52937190"," 0.17307825","-0.58493459","-0.77112990"
"267.232959988484/244.089630964076"," 0.699055601"," 0.768201583","-0.002014494"," 1.136230767"," 0.520471835"," 0.824177208","-2.141681813","-0.529470847","-0.630785561","-0.644184279"
"268.097939126792/196.394442851874"," 0.36018833"," 0.55688687","-0.51393818"," 0.63583064","-0.89958590"," 1.15884333"," 1.45043678","-1.21665047","-1.46672710","-0.06528431"
"268.236396234532/244.94222790225"," 0.7807185"," 0.6542377"," 0.2508163"," 1.0684715"," 0.8460263"," 0.4299056","-2.1402265","-0.3918060","-0.7718075","-0.7263358"
"268.908880112942/30.1258921827871"," 0.89504408","-0.25625100"," 1.37086735","-0.02201996"," 0.89063928","-1.94880234","-1.05659033"," 0.59730388","-0.03672003","-0.43347094"
"268.924485490335/151.207522338221"," 0.54475489","-1.95543955"," 0.17384867","-1.73587438"," 0.70606181"," 0.57049566"," 0.52098888"," 0.01497503"," 0.76360681"," 0.39658219"
"268.983359990686/24.3424046423912"," 0.6083580"," 0.8683216"," 0.8574242"," 1.0205643"," 1.0030594","-1.7934017","-0.7086173","-0.9698827","-0.5871664","-0.2986593"
"269.13942483296/50.1994798928481"," 1.0647270"," 0.8911696"," 0.6300421","-0.9402686","-0.9402686"," 0.9648935","-0.9402686","-0.9402686"," 1.1505108","-0.9402686"
"269.212320622796/178.605424947076"," 0.64371482"," 2.00156920","-1.36495929","-0.03260051"," 0.27774034"," 0.70470715"," 0.18967763","-1.07010339","-0.51768283","-0.83206312"
"269.248510307612/266.28193367002"," 0.70071730"," 1.66621796","-1.23486261"," 1.19614703","-0.08282268"," 0.70071730","-0.57648613","-0.83807511","-0.57648613","-0.95506694"
"269.656070401336/238.350631955564","-0.7641192","-0.7641192"," 1.2851182"," 1.2026907","-0.7641192"," 1.3648629","-0.7641192"," 0.7320431","-0.7641192","-0.7641192"
"270.09120561548/24.1470582751718"," 0.9594431"," 0.7994005","-0.2734810"," 0.5426374"," 0.8063805"," 0.4176198","-1.7738449","-1.4063436","-0.7841098"," 0.7122981"
"270.215626594469/171.96125227757"," 0.50587732"," 0.80450527"," 0.50121530","-0.42982653","-0.07994174"," 0.10769122"," 1.58604412","-1.95436159","-1.13938530"," 0.09818192"
"270.251974547166/265.661267094098"," 0.7818609"," 1.7565397","-1.1457621"," 0.8603011"," 0.5323165"," 0.4395307","-1.0998081","-0.6742374","-0.5560697","-0.8946717"
"271.021619589619/21.7250778352047"," 0.49734716"," 0.14020558"," 0.71545016"," 0.47959829"," 0.38854245"," 0.09844341"," 0.81132963","-0.03655385","-0.45555059","-2.63881225"
"271.191572314751/194.169274129804"," 0.583704008","-0.841847692"," 0.919707832","-0.050821679","-0.007688751"," 0.902490808","-1.329798795"," 0.583704008","-1.774380889"," 1.014931149"
"271.255525300694/266.290767460611","-0.19199163"," 0.34595886","-0.08835644"," 0.02015016","-0.20085264","-0.84242709"," 2.66223638","-0.66271997","-0.60941192","-0.43258570"
"271.934605843696/90.4719035382455"," 0.59830278"," 0.16424526"," 0.33904014"," 0.06923048"," 0.13087844"," 0.42737310","-2.79670023"," 0.26226752"," 0.60382602"," 0.20153649"
"272.850592606063/30.4811688158024","-0.2785038","-0.3582249"," 0.7764722","-0.3379359"," 0.5420697","-0.2320581"," 1.0939788"," 0.6072731"," 0.5968151","-2.4098862"
"272.917871976324/164.316070670813"," 0.3921529"," 0.9447948"," 1.2296290"," 0.9208116"," 1.1106288","-0.5948277","-1.0007973","-1.0007973","-1.0007973","-1.0007973"
"273.049266144814/52.7569865534914"," 0.3395974","-1.8656931"," 0.7495653"," 0.1702959","-1.8656931"," 0.2521211"," 0.4664261"," 0.6010657"," 0.6899333"," 0.4623815"
"273.072856830731/34.7231364445689","-0.7863138","-1.0843830"," 1.0503286","-0.2988043","-0.5054912","-1.4509877","-0.1400106"," 0.8577736"," 0.9368016"," 1.4210867"
"273.134585437887/47.1834618274384"," 1.1354654"," 1.0783203","-1.1010828"," 0.2314978"," 0.5849303"," 0.2636344","-1.1010828"," 1.1104831","-1.1010828","-1.1010828"
"273.186070879162/188.232468669829"," 0.62235819"," 0.64461716"," 0.95273378"," 0.70647704"," 1.36818188"," 0.09460958","-0.87018620","-1.13303801","-1.08670222","-1.29905121"
"273.186079791376/202.193850389175","-0.9834640","-1.3430790","-0.6403577","-0.3588294"," 0.4079544"," 0.7803097","-1.0112690"," 0.7531607"," 0.7205518"," 1.6750224"
"273.207278113345/222.786385236512"," 0.2887874035"," 2.0491939588","-1.2351155386","-0.2943661857"," 0.0002133394"," 0.8599628526"," 0.5008328323","-1.3080590380","-0.3026462118","-0.5588034126"
"273.917042226164/162.484023095609"," 0.375425727"," 0.982986079"," 0.450964190","-0.052738619","-0.002817184","-2.652836727"," 0.074623973","-0.252263216"," 0.550449991"," 0.526205787"
"274.210483998299/222.726600547081"," 0.17000098"," 1.67338358","-0.36114004","-0.64592802","-0.29649938","-0.59535258"," 1.71340965","-1.47992220"," 0.05086233","-0.22881432"
"274.906425390747/112.433673504012"," 0.3238064"," 0.6224363","-1.0407058","-0.1318459"," 0.2469975"," 2.3983740","-0.8788540","-0.5658360","-0.3714079","-0.6029646"
"275.150001948652/224.576008110649","-0.000959857"," 0.466105988"," 0.119658492","-0.047796017"," 0.700273800","-2.770357841"," 0.448166590"," 0.430014567"," 0.309190199"," 0.345704080"
"275.20169819682/207.48176723103"," 0.7177560"," 0.6482100"," 0.2673258"," 1.2422215"," 1.2567597","-0.1379994","-1.7929239","-0.7056749","-0.6465726","-0.8491022"
"275.88103631561/80.6861996849035","-1.37883351"," 0.07048478"," 0.51728531"," 0.26314784","-1.37883351"," 0.95138062","-1.37883351"," 0.95793307"," 0.38413063"," 0.99213825"
"276.20504493046/209.961333560392"," 0.4852310"," 0.3787072"," 0.7743148"," 1.2010674"," 1.5023716","-0.5966646","-1.4268777","-1.0548486","-0.7296966","-0.5336044"
"276.836653808/26.2213515756853"," 0.71923880","-0.06749616","-1.37405213"," 0.42722055"," 0.67415649"," 0.48731941","-1.37405213"," 0.65002585"," 1.23169146","-1.37405213"
"276.866324843259/82.934763073746","-2.3683731"," 0.9989910"," 0.1159598","-0.0503681"," 0.3057007","-0.7835342"," 1.0481842","-0.2592588"," 0.5699473"," 0.4227512"
"276.941040139801/27.7262034905606","-0.4798449"," 1.3757405","-0.4798449","-0.4798449","-0.4798449","-0.3367754","-0.4798449","-0.4798449","-0.4798449"," 2.3199489"
"276.970794077279/31.9412563448921"," 1.06868475"," 0.32008452"," 0.64482852"," 0.92686738"," 0.01170183","-0.06430930"," 0.68666340","-1.01790715","-0.38023542","-2.19637853"
"277.032942255509/20.4420955624476"," 0.4461962","-0.3698098"," 1.0331100"," 0.8295078"," 0.5343612","-2.4497038","-0.1108835"," 0.3033177"," 0.3892017","-0.6052975"
"277.180853517646/139.400212893541"," 0.5227884","-0.4027175","-1.4022820","-1.4022820"," 0.9569762","-1.0509637"," 1.3351411"," 0.2051755"," 0.5186604"," 0.7195036"
"277.217386037311/224.854735572848"," 0.67992270"," 0.62265018"," 0.07680682"," 1.03469537"," 1.12466373"," 0.32660258","-2.17936665","-0.52799210","-0.53959725","-0.61838539"
"278.220705150993/225.413215246672"," 0.6487866"," 0.7177460"," 0.3095489"," 1.2474043"," 1.3044218","-0.3537618","-1.7581021","-0.6782199","-0.6984085","-0.7394155"
"278.858471953407/25.2123799056258","-1.4473036","-1.4473036"," 0.5503007","-1.4473036"," 0.6718169"," 0.5569091"," 0.6212648"," 0.5700999"," 0.6929608"," 0.6785587"
"278.884175720045/44.5273610738394","-0.9235254","-0.7297758"," 1.8327455","-0.5157063","-0.8379066","-1.2932329"," 0.8145807"," 0.3968059"," 0.5765443"," 0.6794705"
"278.893488236405/136.410719134026"," 0.9300628","-1.4043127","-0.4743554","-1.4419092"," 0.2360558"," 0.3494367","-0.2656122","-0.3176732"," 0.6207980"," 1.7675093"
"278.922235050981/141.719339544367"," 0.9899191"," 0.9530042","-0.6934713"," 1.2005005"," 1.0851223"," 0.3137040","-1.0502249","-1.2442222","-0.9427012","-0.6116305"
"278.930186288194/258.21164683503","-0.44523820","-1.23450935","-0.04511152","-0.10902127"," 0.77094422","-0.18809500","-0.31418669"," 0.33120127","-1.06588927"," 2.29990580"
