"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"97.2254806861004/34.6191317836209",0.024815,-0.016976,-0.017307,-0.02354,-0.011304,-0.012083,0.016001,0.011664,0.003386,0.0039072
"97.4727689033137/59.0943698910522",0.022899,-0.015819,-0.032908,0.00083096,0.0032864,-0.012821,0.0065381,-0.00091299,0.0064379,0.00092146
"97.4823906019414/73.652244045106",0.023883,-0.016226,-0.023855,-0.014035,-0.010127,-0.018466,0.014718,0.010524,0.0039435,0.0043261
"97.7475073521495/67.9882829254125",0.022899,-0.015819,-0.032908,0.00083096,0.0032864,-0.012821,0.0065381,-0.00091299,0.0064379,-0.002971
"98.0247284787545/222.719326975713",0.0063494,-0.0068403,0.018205,-0.036594,0.013099,0.0011932,0.006497,0.047905,0.0096175,-0.00099509
"99.0452723707669/153.550800744067",0.027315,-0.011322,-0.031185,-0.0054209,-0.0011533,-0.00115,-0.0028292,-0.0013044,0.0040791,0.0019553
"99.9258137785305/185.889228641634",0.0051728,0.0057527,0.011662,0.043351,0.013266,0.0045021,0.027357,0.024153,-0.02635,0.0083558
"100.030662868291/26.2113709146517",0.012171,0.019336,0.011614,0.038417,0.015271,0.024821,0.0025974,0.0029574,0.01971,-0.0011263
"100.280183010734/69.5531891757518",-0.0060907,0.022132,0.0061781,0.016763,0.011557,-0.045757,-0.0030283,-0.022604,0.0067158,-1.4763e-05
"100.809307203532/275.76685829959",-0.004061,0.035796,0.017341,0.00023468,-0.020855,0.0060261,-0.01445,-0.0014906,-0.001562,0.0045374
"100.946077968574/157.417145814243",-0.029772,0.0010299,0.025413,-0.0015494,0.0010432,0.0077504,-0.015802,0.006198,0.014512,-0.00091537
"100.953441800645/278.336569486275",0.015424,0.03146,-0.0061725,-0.0020562,-0.028614,-0.0057323,-0.016451,0.002727,0.0038861,0.0036349
"101.060792831821/32.6825166216139",0.0062889,0.013995,-0.022024,0.014623,0.01699,0.034216,-0.025108,0.011516,-0.025078,0.0048617
"102.177156948131/241.360460385222",0.014224,0.033323,-0.0046121,-0.005083,-0.026953,-0.0088891,-0.0052717,0.01121,-0.0066971,-0.0036139
"102.747286153763/228.027559012916",0.015841,-0.0018285,-0.019082,0.036622,-0.030134,0.0016396,-0.0067499,0.012381,-0.022176,0.012012
"102.963298096857/25.2381369377281",-0.003009,-0.014588,-0.013334,0.02646,-0.034245,-0.02979,0.017877,-0.011301,0.016678,-0.00029749
"104.780136358478/222.026950467935",-0.013377,-0.0058088,-0.019392,0.018643,0.035093,0.00061765,-0.018186,-0.031085,0.020417,-0.010638
"105.564555090651/236.537817654538",0.021656,-0.015581,-0.0028582,0.012275,0.03037,-0.019342,0.02369,0.010683,0.014811,-0.0014681
"106.069466430642/20.2596683661792",-0.012624,0.024269,0.029536,0.016674,-0.0041799,0.020116,-0.013297,-0.0039822,-0.0044264,0.0046414
"106.269822507412/256.006021859032",-0.010757,0.026047,0.03252,-0.00011358,-0.00026777,0.0059827,-0.01809,0.0011184,0.014712,-0.0010313
"106.57360054043/280.473674100606",0.015364,0.036453,-0.00077965,-0.0015266,-0.017703,-0.0014045,-0.0086891,0.0015279,0.0060214,0.0025104
"107.17871551452/234.551793150658",0.012003,0.026563,-0.002259,-0.018685,-0.022615,-0.017491,-0.026577,-0.019166,-0.0016745,0.0041061
"107.791149002408/215.042898224881",-0.005547,0.011409,0.022976,-0.010438,-0.00045081,0.032762,-0.0045844,-0.034902,-0.033466,-0.0012053
"108.006729288972/170.290989761158",0.016671,-0.0049976,-0.037554,0.0025742,-0.0073308,-0.025044,0.016751,-0.0027251,0.0011431,0.00166
"108.021701695449/158.530254085818",-0.021465,-0.02537,-0.00638,0.015528,0.0072377,0.024623,-0.01836,0.0087805,-0.0018191,-0.0027487
"108.719747038388/226.5343469287",0.025686,0.0083521,-0.025633,0.016366,0.017271,-0.015045,-0.0016172,0.0085593,0.012718,-0.0022323
"109.03153880255/237.446051973967",0.018176,-0.00050062,-0.012134,-0.026048,-0.0098191,-0.03388,-0.021967,-0.005037,0.028027,-0.0044581
"109.660135061004/216.201732913665",0.013576,0.012502,-0.02038,-0.032382,0.025474,-0.0081495,-0.01829,0.017081,-0.018168,0.0036697
"110.32614599872/271.576102711647",-0.00017866,0.015354,0.0083468,0.027799,0.014507,-0.04022,-0.013279,0.0091596,-0.031282,-0.00031002
"110.933410436414/31.871305587136",0.003075,-0.0015347,0.023804,0.019093,-0.016686,0.010939,-0.022277,0.043032,-0.027697,0.0024016
"110.933852395077/270.707710030045",0.025241,0.017012,-0.019519,-0.0086996,-0.022832,-0.01278,-0.012745,-0.0024154,0.010207,0.0091508
"111.008815172946/32.8426058373793",-0.019008,0.00014954,-0.017952,0.029451,-0.016643,0.024508,-0.0055132,0.024477,0.021473,-0.0038795
"111.131645073444/274.081520877454",0.016531,-0.02592,-0.013498,-0.027301,0.016749,-0.005566,0.018136,0.012833,-6.9694e-05,-0.0019509
"111.255174342226/245.375636931014",0.016387,0.01013,0.020137,-0.020034,-0.030532,0.0108,-0.0071311,-0.035528,0.0028469,0.0042461
"111.578383214764/231.326513615853",0.022783,0.01704,-0.010938,0.0053267,-0.03168,1.1015e-05,-0.01689,-0.010362,0.023104,-0.0037843
"111.902850880174/238.893785412051",0.016684,0.029499,-0.0026592,0.016145,0.0053363,0.010076,-0.025164,-0.020984,-0.0041733,-0.0097543
"112.040429072684/52.5281266303787",-0.021334,-0.018026,0.00097595,-0.021187,-0.027221,0.0096452,-0.0025129,0.032039,-0.0029679,0.003992
"112.040435822346/162.218219034651",-0.016241,0.020954,0.00096405,-0.0029086,-0.029267,-0.03364,-0.018285,0.010673,-0.0052853,0.0081927
"112.152289074067/140.424090547627",-0.019101,-0.0055915,-0.017434,-0.0041199,-0.020564,-0.045354,-0.0037002,0.0061483,-0.0081082,-0.0090343
"112.229132710902/252.302536634795",0.01879,0.006325,-0.008463,0.028748,-0.028903,0.016057,0.0021141,0.017438,0.032028,-0.0033598
