massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row134	133.060743	79.19539346	0.00087987	5.1449	
row135	166.0862891	46.71675472	0.00094809	5.0843	
row136	151.9719896	136.4860961	0.00095606	5.0775	
row137	172.9870212	138.8165669	0.00096429	5.0706	
row138	732.5536638	34.52363125	0.00099082	-5.0487	
row139	167.0896531	48.3251549	0.0010072	5.0355	
row140	217.4444466	138.889351	0.0010284	5.0188	
row141	131.1178813	41.04273845	0.001046	5.0052	
row142	302.9365605	136.6000068	0.0010879	4.9738	
row143	667.3896334	29.10187319	0.0010955	-4.9683	
row144	220.9471628	82.04258409	0.001116	-4.9535	
row145	121.0841551	46.97123405	0.0011167	4.953	
row146	541.9430059	69.36033541	0.0011214	4.9496	
row147	120.0808111	52.9447905	0.0011536	4.9271	
row148	482.3249809	38.35152756	0.0011793	4.9097	
row149	173.1397575	45.03080109	0.0011804	-4.9089	
row150	731.4188514	44.19759431	0.0011809	-4.9086	
row151	205.9364376	137.6099923	0.0011913	4.9016	
row152	565.816766	38.5523986	0.0011919	-4.9012	
row153	142.4970427	115.5804582	0.0012476	-4.8652	
row154	406.2644962	35.7067114	0.0012491	-4.8642	
row155	270.9970409	79.0053056	0.00125	4.8636	
row156	150.0583747	53.13937985	0.001289	4.8394	
row157	758.3769132	69.20815152	0.00132	4.8208	
row158	849.6733911	144.1844729	0.0013304	-4.8147	
row159	179.0372896	80.08850636	0.0013347	4.8121	
row160	89.10733239	84.32183519	0.0013398	4.8091	
row161	324.2895657	26.24450111	0.0013777	4.7873	
row162	472.2435347	42.97143797	0.0013973	-4.7763	
row163	325.9595143	47.79130733	0.0014018	4.7738	
row164	520.3394547	42.00952073	0.0014087	4.77	
row165	820.4717568	55.83335424	0.0014354	-4.7553	
row166	687.3958874	44.88077181	0.0014579	-4.7432	
row167	413.1275919	60.57075018	0.0014761	4.7336	
row168	514.0018363	69.33977996	0.001502	4.7201	
row169	234.9629673	47.4516284	0.0015315	4.705	
row170	1146.704242	79.22005893	0.0015489	-4.6963	
row171	308.0908928	65.46403543	0.0015698	4.6859	
row172	479.1216383	46.51805644	0.0015718	4.6849	
row173	411.1301717	61.87543835	0.0015946	4.6738	
row174	320.1032611	54.42330306	0.0015963	4.673	
row175	282.4234474	137.5092216	0.0016055	4.6686	
row176	632.6616402	55.48110198	0.0016266	-4.6585	
row177	518.3243786	41.53177519	0.0016639	4.6411	
row178	186.0162947	281.8688033	0.0017057	-4.622	
row179	296.2680523	117.6024327	0.0017267	-4.6126	
row180	103.0542282	50.10275224	0.0017495	4.6026	
row181	903.4291755	52.80013683	0.0017582	-4.5988	
row182	140.4639704	138.2832461	0.0017686	4.5943	
row183	241.998016	48.2658972	0.0017768	4.5907	
row184	545.7326595	49.59132461	0.0017789	-4.5898	
row185	243.0014275	49.44094587	0.0018044	4.579	
row186	188.1645641	32.0397325	0.0018083	4.5773	
row187	200.920134	116.537475	0.0018208	-4.5721	
row188	281.008864	51.66309559	0.0018216	4.5717	
row189	736.6653218	61.65267643	0.0018378	-4.565	
row190	334.8368059	57.83758285	0.0018486	-4.5606	
row191	818.4730147	49.81993368	0.0018925	-4.5427	
row192	565.8131663	41.89159137	0.0019258	-4.5294	
row193	336.8341355	58.35364084	0.0019328	-4.5267	
row194	598.6194336	56.43221936	0.0019745	-4.5105	
row195	510.2910288	47.01749787	0.00204	-4.4858	
row196	89.0419382	76.18215345	0.0020478	4.4829	
row197	346.8626566	57.44931442	0.0021012	-4.4635	
row198	275.9605857	116.3511194	0.0021021	-4.4632	
row199	163.0713587	78.63917652	0.0021049	4.4622	
row200	104.5288817	134.3132335	0.0021459	4.4477	
row201	1046.723915	72.20566013	0.0021599	-4.4428	
row202	656.5254898	25.81247234	0.0022782	4.4028	
row203	841.3894594	67.70636025	0.0023701	-4.3733	
row204	446.0137021	69.47214356	0.002396	4.3651	
row205	738.9511233	53.50789285	0.0024004	4.3638	
row206	421.2328076	28.80126852	0.002436	-4.3528	
row207	124.047314	41.24936152	0.0024422	4.3509	
row208	177.007245	38.9114119	0.0024604	4.3454	
row209	269.0880126	48.04203425	0.0024927	4.3357	
row210	505.8058074	43.25919173	0.0025689	-4.3134	
row211	531.8559109	32.320821	0.0025806	-4.31	
row212	164.0294473	71.55437964	0.0025922	4.3067	
row213	501.3295987	27.80387123	0.0026122	-4.301	
row214	800.5037792	55.89910662	0.0026337	-4.2949	
row215	245.0567038	178.8598732	0.0026357	4.2944	
row216	129.1385989	253.4958301	0.0026522	-4.2898	
row217	120.0655692	64.00912919	0.0026966	4.2775	
row218	151.0010705	110.1301	0.0028074	-4.2478	
row219	137.0727647	55.6742178	0.0028149	4.2459	
row220	1122.718103	81.33168571	0.0028715	-4.2312	
row221	642.6007955	44.14015119	0.0028731	-4.2308	
row222	318.9242493	46.4680503	0.0028842	4.228	
row223	120.0443948	31.31178969	0.0029014	4.2236	
row224	157.0738782	87.58937885	0.002908	4.222	
row225	175.1076739	73.35655664	0.0029191	4.2192	
row226	750.8307718	69.23993889	0.0029211	-4.2187	
row227	269.9935682	69.58416155	0.0029322	4.2159	
row228	237.9576838	156.0834414	0.0029663	4.2074	
row229	410.1270293	61.62275329	0.003029	4.1921	
row230	400.2378871	29.10774221	0.003079	-4.1801	
row231	903.5749259	40.74319984	0.0030882	4.178	
row232	447.1634688	40.84233898	0.0032049	4.1509	
row233	173.0209911	126.7815078	0.0032251	4.1463	
row234	138.0549568	45.66437132	0.0032254	4.1463	
row235	902.5773363	43.88425317	0.0032508	4.1406	
row236	819.3188676	69.75985767	0.0032746	-4.1353	
row237	180.0871164	37.72742368	0.0032997	4.1297	
row238	123.0440689	64.21175395	0.0033288	4.1233	
row239	453.2103281	37.79010549	0.0033321	-4.1226	
row240	102.9702459	133.5005146	0.003337	4.1216	
row241	247.9162153	136.8129767	0.003353	4.1181	
row242	542.3221877	44.86615867	0.0033604	4.1165	
row243	279.9208307	137.8379029	0.0033803	4.1122	
row244	168.0962943	38.39447913	0.0034108	4.1057	
row245	564.6735723	55.66835483	0.0035099	-4.085	
row246	451.988787	185.5603164	0.0035505	-4.0767	
row247	110.0712952	95.30285748	0.0035804	4.0706	
row248	599.3373972	41.24223095	0.0035872	-4.0692	
row249	131.4587246	135.1951766	0.0036589	4.055	
row250	439.2528838	34.49377975	0.0036647	-4.0538	
row251	165.0547474	55.21621746	0.0036731	4.0522	
row252	1071.121119	68.04731687	0.0036958	-4.0477	
row253	632.8317039	82.88461606	0.0037066	-4.0456	
row254	378.2119034	42.79097208	0.0037453	-4.0382	
row255	480.1252116	45.16944931	0.0037568	4.036	
row256	183.0783445	57.5255941	0.0037592	4.0355	
row257	585.2897782	38.70698414	0.0037697	-4.0335	
row258	1042.275584	56.13691487	0.0037724	-4.033	
row259	494.7585619	45.17548817	0.0038187	-4.0242	
row260	184.0816677	55.79871479	0.0038872	4.0114	
row261	828.7743012	85.43051189	0.0039445	-4.001	
row262	246.0475223	105.6033394	0.0039867	3.9933	
row263	761.5876131	39.54851675	0.0039896	3.9928	
row264	932.3931212	55.85918807	0.0040126	-3.9887	
row265	305.4118425	148.8457276	0.0040179	-3.9878	
row266	554.4175711	69.38667262	0.0040219	3.987	
row267	363.9967934	69.06339745	0.0040767	3.9774	
row268	1090.675805	83.37623368	0.0041252	-3.9689	
row269	661.8123599	69.1753897	0.004146	-3.9653	
row270	475.8052514	45.30524837	0.0041987	-3.9563	
row271	691.3328719	70.25969168	0.004206	-3.9551	
row272	390.798411	56.17246903	0.0042561	-3.9466	
row273	462.780191	52.57595392	0.0042802	-3.9426	
row274	431.2519076	40.69081458	0.0043212	-3.9358	
row275	204.0979993	80.60621383	0.0043272	3.9348	
row276	569.3567468	36.27614827	0.0043312	-3.9342	
row277	638.3293775	47.82350522	0.0043364	3.9333	
row278	202.8859008	65.77920583	0.0043656	-3.9285	
row279	361.9738976	62.76305002	0.0044605	-3.9133	
row280	873.8357437	280.1994259	0.0044609	-3.9132	
row281	1166.688947	80.82596215	0.0044928	-3.9081	
row282	325.2739851	26.32938102	0.0045637	3.897	
row283	732.7238943	142.5428851	0.004598	-3.8917	
row284	171.9789523	137.9264584	0.0046019	3.8911	
row285	615.8773174	68.45427892	0.0046256	-3.8875	
row286	536.8596646	80.85006894	0.004772	-3.8654	
row287	885.4578519	54.59556267	0.0048002	-3.8613	
row288	622.4032801	68.37964676	0.0048192	3.8585	
row289	470.9724179	68.92286804	0.0048841	-3.849	
row290	517.0786734	45.4491598	0.0049199	3.8439	
row291	160.0345719	65.54905893	0.0049264	3.843	
row292	1154.270629	68.24372811	0.0049742	-3.8362	
row293	586.6391894	56.33502537	0.0049873	-3.8343	
row294	439.7655086	45.6306666	0.0049887	-3.8341	
row295	828.7776668	90.22525495	0.0050497	-3.8256	
row296	458.6971579	56.83104846	0.0050996	-3.8186	
row297	780.553126	35.16421012	0.0052092	3.8037	
row298	202.4833052	116.3931293	0.0052391	-3.7997	
row299	178.9871659	117.1942424	0.0052499	-3.7982	
row300	538.9607033	72.92042299	0.0052639	-3.7964	
row301	1093.770312	67.76000724	0.0052826	-3.7939	
row302	186.1489243	30.02613769	0.0052845	3.7936	
row303	187.9907291	72.91704313	0.0052934	3.7924	
row304	923.3028417	68.05763899	0.0053094	-3.7903	
row305	156.07682	91.86213396	0.0053131	3.7898	
row306	448.7575291	55.36882676	0.0053186	-3.7891	
row307	869.5740952	28.43354901	0.0054634	-3.7703	
row308	91.05422911	42.72272615	0.0054871	3.7673	
row309	449.6493442	56.79164545	0.0055159	-3.7636	
row310	246.1561901	82.00880681	0.0055565	3.7585	
row311	776.5248965	52.1228988	0.0055855	-3.7548	
row312	193.0681183	86.00409146	0.0055868	3.7547	
row313	226.449736	136.418408	0.0055901	3.7542	
row314	550.3342632	41.61477863	0.0056452	-3.7474	
row315	236.9611561	48.38045406	0.0057419	3.7355	
row316	810.441726	55.95542987	0.0058334	-3.7245	
row317	834.0434843	106.305432	0.0059018	-3.7164	
row318	160.9772372	131.9232348	0.0059714	3.7082	
row319	396.693452	60.53700682	0.0060698	-3.6969	
row320	497.2368285	38.11682935	0.0061841	-3.6839	
row321	779.8425188	67.95636116	0.0061986	-3.6823	
row322	782.9609989	52.72349565	0.0063156	-3.6693	
row323	141.0715532	66.83775774	0.006316	3.6693	
row324	255.1450916	79.93949915	0.0063201	3.6688	
row325	238.0093912	273.5161258	0.0063332	-3.6674	
row326	268.9222274	136.7731172	0.0063942	3.6608	
row327	756.5194326	53.45204607	0.0064109	-3.659	
row328	773.5861168	34.75652964	0.0064454	3.6552	
row329	109.0648316	22.86426233	0.0065624	-3.6428	
row330	1124.279068	55.20923817	0.0066026	-3.6386	
row331	1048.725957	76.22501925	0.0066803	-3.6305	
row332	773.444653	54.15821586	0.0067783	-3.6204	
row333	774.4384344	45.5968097	0.0067915	-3.6191	
row334	1190.665266	81.13108916	0.0068226	-3.6159	
row335	684.5800755	53.35317192	0.0068495	-3.6132	
row336	942.7245423	118.6658135	0.0069056	-3.6076	
row337	300.1078484	38.46057572	0.006923	3.6059	
row338	134.1086139	47.04748643	0.0069578	3.6024	
row339	754.7969435	92.92344526	0.0070352	-3.5948	
row340	771.5719726	42.69444577	0.0070564	3.5927	
row341	1087.752425	68.3559436	0.0070693	-3.5915	
row342	921.2960558	68.72422112	0.007122	-3.5864	
row343	487.0593555	58.34103342	0.0071704	3.5817	
row344	126.0124596	132.2215362	0.0072735	3.5719	
row345	185.0817434	42.08341844	0.0074549	3.555	
row346	296.0093199	69.46786054	0.0074819	3.5525	
row347	300.9746323	55.80182471	0.007594	3.5423	
row348	431.7785788	45.7702848	0.0076315	-3.539	
row349	656.5777322	55.3428062	0.0076875	-3.534	
row350	270.242713	20.32251218	0.0077254	3.5306	
row351	837.7921347	67.30563087	0.0077445	-3.5289	
row352	390.8319822	70.72182294	0.0077952	-3.5244	
row353	1130.460811	49.05487682	0.0078018	-3.5239	
row354	796.5403806	28.92073418	0.0078088	-3.5232	
row355	426.8510392	72.21951156	0.0078121	-3.5229	
row356	506.3068732	41.47504364	0.0079123	-3.5142	
row357	697.443957	38.29443937	0.0079177	-3.5138	
row358	107.049129	46.79954265	0.0080374	3.5035	
row359	211.9588107	135.9313825	0.0080752	3.5003	
row360	948.7538026	82.38459826	0.0080856	-3.4995	
row361	251.9804763	62.59783686	0.0082535	3.4854	
row362	359.8379758	60.54524782	0.0082766	-3.4835	
row363	159.0917637	47.6566675	0.0082841	3.4829	
row364	297.9759994	62.72222727	0.0083572	3.4769	
row365	706.5052647	56.29116925	0.0083655	-3.4763	
row366	656.3971978	69.33003585	0.008396	3.4738	
row367	517.7974271	162.6355391	0.008463	-3.4684	
row368	101.1992524	51.618469	0.0084919	3.4661	
row369	365.1570943	39.83162026	0.0085069	-3.4648	
row370	884.595908	27.29543481	0.0085428	-3.462	
row371	505.3861628	157.1557762	0.0085932	-3.458	
row372	234.9746956	137.169949	0.0086258	3.4554	
row373	884.5853044	29.6782103	0.0086625	-3.4525	
row374	298.979421	62.74680903	0.0087725	3.444	
row375	286.2740456	26.02649502	0.0087747	3.4438	
row376	344.8656305	59.91060393	0.0087929	-3.4424	
row377	537.3390797	48.00360985	0.0088437	-3.4385	
row378	1230.092892	68.16884325	0.0089581	-3.4298	
row379	648.545547	56.46675549	0.0090633	-3.4218	
row380	473.9557193	69.37428405	0.0091785	3.4133	
row381	119.0833574	62.49362389	0.0092693	3.4066	
row382	702.5557465	55.80568093	0.0093024	-3.4042	
row383	295.102109	264.6539422	0.0093588	-3.4001	
row384	622.4346021	31.05656865	0.0093664	3.3996	
row385	753.5184872	29.17384966	0.0095264	-3.3881	
row386	391.1435844	55.81200074	0.0095519	3.3863	
row387	437.8832507	77.27235001	0.0096035	-3.3827	
row388	863.7984851	67.43034354	0.0096495	-3.3795	
row389	415.1011511	45.61490003	0.0096501	3.3794	
row390	131.1291723	79.43637869	0.0096864	3.3769	
row391	290.8759037	47.76749197	0.0096971	-3.3761	
row392	334.0823185	198.6235648	0.0097433	3.3729	
row393	527.8186548	41.00740822	0.0097441	-3.3729	
row394	249.1849173	120.772537	0.0097894	-3.3697	
row395	996.4319554	55.6716785	0.0098522	-3.3654	
row396	580.2795616	42.48575293	0.0099305	3.3601	
row397	121.0476488	36.29855179	0.0099756	3.357	
row398	512.8762109	77.42158502	0.01002	-3.354	
row399	189.0524615	43.82549113	0.010044	-3.3524	
row400	840.5681573	30.6446142	0.010047	-3.3522	
row401	661.9220156	89.16826449	0.010128	-3.3468	
row402	113.5332488	136.5835364	0.010144	3.3458	
row403	204.1231427	43.08290441	0.010267	3.3377	
row404	453.791532	34.33232021	0.010347	-3.3324	
row405	137.0651724	43.1500366	0.010437	3.3266	
row406	513.3784996	69.92434538	0.010505	-3.3222	
row407	641.3654672	45.30784813	0.010575	-3.3178	
row408	166.1256855	48.45411918	0.010579	3.3175	
row409	1143.734969	68.31308542	0.010656	-3.3126	
row410	1131.23102	55.50239392	0.010689	-3.3106	
row411	900.5571829	40.50369119	0.010695	3.3102	
row412	933.8695193	98.36555217	0.010697	-3.3101	
row413	885.5957816	28.06579709	0.010738	-3.3075	
row414	821.2039173	61.26645828	0.0108	-3.3036	
row415	860.7203799	63.8199924	0.01085	-3.3005	
row416	202.0062162	69.54904023	0.010872	3.2992	
row417	828.7776304	80.07631431	0.010887	-3.2983	
row418	752.5147875	28.2618479	0.011004	-3.2911	
row419	674.8100023	66.8371391	0.011021	-3.2901	
row420	319.1361368	37.6112811	0.011071	-3.287	
row421	657.7961771	68.58327805	0.011078	3.2866	
row422	478.8151844	27.60599436	0.011116	-3.2843	
row423	874.4355808	56.06567022	0.011141	-3.2828	
row424	140.0682898	66.81049575	0.011202	3.2792	
row425	710.345978	53.141401	0.01123	-3.2775	
row426	364.7455056	61.32278597	0.011317	-3.2723	
row427	584.6424422	56.63106266	0.011337	-3.2711	
row428	280.19443	84.11413277	0.011358	-3.2699	
row429	140.0705731	55.69808753	0.011476	3.263	
row430	669.4231285	45.04101272	0.011522	-3.2603	
row431	570.6660256	55.83158946	0.01157	-3.2575	
row432	585.9249738	82.402302	0.011604	-3.2556	
row433	419.2295801	41.98463926	0.011613	3.2551	
row434	369.895497	71.49224209	0.011648	-3.2531	
row435	115.8837673	145.4414854	0.011656	3.2526	
row436	783.4787844	55.39315026	0.011746	-3.2474	
row437	278.8755576	50.14729617	0.011757	-3.2468	
row438	522.3552093	39.90040863	0.011788	3.245	
row439	284.266545	111.4816577	0.011849	-3.2416	
row440	348.8345197	73.76956677	0.012011	-3.2325	
row441	540.8408866	56.54455831	0.012013	-3.2324	
row442	523.3594517	41.16296708	0.012027	3.2317	
row443	690.5310609	56.0943796	0.012063	-3.2296	
row444	134.0188638	68.81264054	0.012154	3.2247	
row445	596.7704407	138.9042414	0.012175	3.2235	
row446	456.6986882	56.52293069	0.01218	-3.2232	
row447	1068.717204	92.41703243	0.012226	-3.2207	
row448	818.8155194	69.3700497	0.012249	-3.2194	
row449	109.0633424	52.95632851	0.012331	3.215	
row450	541.9629338	128.7580411	0.012338	-3.2147	
row451	638.6528343	56.12225137	0.012348	-3.2141	
row452	331.0356665	64.20495558	0.012435	-3.2094	
row453	798.5440773	27.82534011	0.012477	-3.2072	
row454	100.9820969	128.1061206	0.012584	3.2015	
row455	157.0801033	96.40209062	0.012601	3.2006	
row456	320.922485	48.06915475	0.012932	3.1833	
row457	419.3154916	21.65310196	0.01301	-3.1793	
row458	155.0726905	62.48862735	0.01308	3.1758	
row459	474.8319437	33.74176891	0.013088	-3.1754	
row460	247.0923898	251.4534337	0.013132	-3.1732	
row461	694.6152212	55.66165697	0.013235	-3.168	
row462	189.1345958	83.14864365	0.013285	3.1654	
row463	1274.748537	69.10874472	0.013353	-3.1621	
row464	209.5835839	106.6556804	0.01336	3.1618	
row465	140.118286	107.6188223	0.013361	-3.1617	
row466	234.4115905	138.1209361	0.013457	3.1569	
row467	662.7798194	72.33788298	0.013518	-3.1539	
row468	249.0095282	144.5492238	0.013704	-3.1449	
row469	494.8385011	59.73099423	0.013775	-3.1415	
row470	1051.790109	67.8433657	0.013905	-3.1352	
row471	426.2550457	37.34442933	0.013908	-3.1351	
row472	597.3381943	46.72099637	0.013916	-3.1347	
row473	1094.615553	149.8278629	0.014084	-3.1268	
row474	321.1310812	44.0438143	0.014104	-3.1258	
row475	901.5625685	40.79998091	0.014112	3.1255	
row476	518.652097	56.08869162	0.014294	-3.117	
row477	559.9891935	62.71402007	0.014432	3.1106	
row478	628.3440583	40.93446694	0.014447	3.1099	
row479	841.5631842	27.4752213	0.014469	-3.1089	
row480	108.410498	125.7886173	0.014737	-3.0968	
row481	485.062901	63.31581708	0.014813	3.0934	
row482	254.9248449	158.8405388	0.014878	3.0905	
row483	97.10127027	218.792897	0.014975	3.0862	
row484	628.8072586	63.77618774	0.01501	-3.0847	
row485	609.9302338	69.54481879	0.015013	3.0846	
row486	255.0976237	46.99349256	0.015084	3.0814	
row487	553.3139221	49.3175976	0.015115	-3.0801	
row488	409.9208912	49.74547378	0.015121	3.0798	
row489	95.52296352	41.59803763	0.015196	3.0766	
row490	624.6303984	55.89717095	0.015319	-3.0713	
row491	737.9145534	161.4627243	0.015325	-3.071	
row492	300.9047385	79.54650204	0.015336	-3.0705	
row493	468.8142426	58.68016628	0.01534	3.0703	
row494	640.8404819	77.81035876	0.015384	-3.0685	
row495	289.2930247	25.78789803	0.015536	3.062	
row496	716.8377091	69.306973	0.015738	-3.0535	
row497	356.0098835	202.5588578	0.015761	-3.0525	
row498	1166.678282	93.06388461	0.015828	-3.0497	
row499	534.7156099	56.50782568	0.015873	-3.0478	
row500	584.3162955	40.15535609	0.016166	3.0358	
row501	132.9743095	135.5993601	0.016238	3.0329	
row502	86.0964461	48.63269318	0.016239	3.0329	
row503	610.9906309	162.0443901	0.01627	-3.0316	
row504	204.0278764	55.71128976	0.016288	3.0308	
row505	110.2962023	103.9565224	0.016428	-3.0252	
row506	208.03953	118.2311181	0.016717	3.0138	
row507	184.073406	44.0808257	0.016743	3.0128	
row508	261.6234099	117.0211549	0.016795	-3.0107	
row509	711.3504896	67.77190485	0.016808	-3.0102	
row510	452.9883763	267.6052643	0.016872	-3.0077	
row511	828.793716	88.50202666	0.016888	-3.0071	
row512	1232.626809	83.53114926	0.017037	-3.0014	
row513	450.2303906	44.96464368	0.017057	-3.0006	
