SOURCE	TARGET	ENZYMES
C14749	C00219	1.14.14.1
C14748	C00219	1.14.15.3
C02965	C00104	2.7.1.1
C00385	C00262	1.17.3.2;2.4.2.22;3.2.2.2;2.4.2.8;3.2.2.1;1.17.1.4;2.4.2.1;3.5.4.3;3.2.2.8;2.4.2.4
C00385	C00559	2.4.2.1;2.4.2.4
C00712	C06427	3.1.2.2
C00712	C06426	3.1.2.2
C00712	C01595	;3.1.2.14;3.1.2.2
C00712	C06428	3.1.2.2
C00712	C00219	;3.1.2.2
C00712	C03242	3.1.2.2
C00362	C00286	3.6.1.19
C00362	C00559	3.1.3.5
C00362	C00299	3.1.3.5
CE7243	C00219	1.14.14.1
CE7244	C00219	1.14.14.1
C16300	C06427	1.14.19.-
C00286	C00104	2.7.1.40;2.7.4.6;3.6.1.19;2.7.1.48
C00286	C00299	2.7.1.48
C14778	C00219	1.14.14.1
C14770	C14771	2.3.1.16;1.3.3.6;1.14.14.1;3.3.2.10;1.1.1.35;4.2.1.17;3.1.2.2;2.3.1.154;6.2.1.-;3.3.2.9;5.1.99.4
C14770	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14770	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14770	C00219	3.1.2.2;1.14.14.1
C14771	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C00219	3.1.2.2;1.14.14.1
C00490	C00104	6.2.1.4
C00092	C00085	5.3.1.9;2.7.1.1
C00092	C00103	5.4.2.2;
C00092	C01172	5.3.1.9;2.7.1.1;2.7.1.2;2.7.1.147;3.1.3.9;1.1.1.49
C00092	C00104	;2.7.1.1
C00092	C01177	;5.5.1.4
C00092	C04006	5.5.1.4
C00093	C01177	;2.7.8.11;3.1.4.3
C00078	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00078	C00079	;1.4.3.2;4.1.1.28
C00078	C00407	1.4.3.2
C00078	C00082	;1.4.3.2;4.1.1.28
C00079	C00407	1.4.3.2;3.4.15.-
C00079	C00064	;2.6.1.64
C00079	C00123	3.4.21.39
C00079	C00082	;2.6.1.9;2.6.1.5;2.6.1.1;3.4.15.-;2.6.1.57;1.14.16.1;2.6.1.58;1.14.16.2;2.3.1.16;4.1.1.25;1.11.1.8;4.1.1.28;1.11.1.7;1.4.3.2;1.3.3.6;4.2.1.96;1.1.1.35;6.1.1.1;4.2.1.17;3.1.2.2;1.14.18.1;2.6.1.64;5.1.99.4;4.1.1.53;6.1.1.20;6.3.2.25;6.2.1.-;3.4.21.39;2.3.1.154
CE1450	C00219	1.14.14.1
C04006	C03546	3.1.3.25
C04006	C01177	5.5.1.4;3.1.3.66;3.1.3.25
C06427	C06426	3.1.2.2;6.2.1.3
C06427	C00219	3.1.1.4;3.1.2.2;6.2.1.3
C06427	C01595	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C06427	C06428	3.1.2.2
C06427	C03242	3.1.2.2;6.2.1.3
C06426	C01595	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C06428	3.1.2.2
C06426	C00219	3.1.2.2;6.2.1.3
C06426	C03242	3.1.2.2;6.2.1.3
C00085	C00104	2.7.1.11;2.7.1.1
C00085	C00275	5.3.1.8;2.7.1.1
C00085	C00064	2.6.1.16
C00085	C00352	2.6.1.16;2.7.1.1;3.5.99.6
C00085	C01097	2.7.1.11
C14768	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C00219	1.14.14.1
C00082	C00407	1.4.3.2;3.4.15.-
C01157	C04281	1.5.1.12;;1.5.1.2
C06428	C01595	3.1.2.2
C06428	C00219	3.1.2.2
C06428	C03242	3.1.2.2
C05938	C04281	1.5.1.12;
C01097	C00104	2.7.1.11;2.7.1.40;3.6.1.5;2.7.4.6
C00104	C00275	;2.7.1.1
C00104	C00352	2.7.1.1
C00104	C00299	2.7.1.48
C00104	C00329	;2.7.1.1
C00103	C00446	2.7.7.12
C00103	C00668	5.4.2.2;5.4.2.5
CE5705	C00219	1.14.14.1
C00062	C00122	4.1.1.19;4.3.2.1;4.3.2.2;1.14.13.39;6.3.4.5;3.5.3.1;6.1.1.19;2.1.4.1;3.2.2.19;2.4.2.31;1.3.5.1;4.2.1.2;3.7.1.2;1.3.99.1
C00064	C00352	2.6.1.16
C00909	C02165	;3.3.2.6
C00275	C00636	5.4.2.8
C14769	C00219	1.14.14.1
C00668	C01172	5.3.1.9;5.1.3.15;2.7.1.1;2.7.1.2;2.7.1.147;3.1.3.9
C00352	C06377	3.5.1.25
C00352	C00329	2.7.1.1;2.7.1.59;2.7.1.8
C00299	C00559	3.1.3.5
C00262	C00559	2.4.2.1;2.4.2.4
C01177	C03546	3.1.3.25
C03242	C01595	3.1.2.2;6.2.1.3
C03242	C00219	3.1.2.2;6.2.1.3
CE2565	C00219	1.13.11.34;1.14.99.1
C00219	CE7231	1.14.14.1
C00219	CE7234	1.14.14.1
C00219	C01595	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
